student_id,mentor_id,parent_id,Week_1_Attendance,Week_2_Attendance,Week_3_Attendance,Week_4_Attendance,Week_5_Attendance,Week_6_Attendance,Week_7_Attendance,Week_8_Attendance,Week_9_Attendance,Week_10_Attendance,Week_11_Attendance,Week_12_Attendance,Attendance_Decline_Score,Is_Declining_Attendance,Average_Attendance,Lowest_Week_Attendance,Highest_Week_Attendance
100047,200022,300047,87,89,85,90,85,79,92,77,78,88,84,79,3.33,No,84.42,77,92
100048,200023,300048,88,87,94,93,87,91,94,91,100,90,93,100,-4.67,No,92.33,87,100
100049,200024,300049,86,80,78,80,84,78,75,84,87,87,81,77,-0.33,No,81.42,75,87
100050,200025,300050,89,85,81,77,73,69,65,61,57,53,49,45,36,Yes,67,45,89
100051,200001,300051,65,56,69,57,52,72,84,77,73,54,82,71,-5.67,No,67.67,52,84
100052,200002,300052,80,82,70,80,78,81,71,80,72,83,75,82,-2.67,No,77.83,70,83
100053,200003,300053,94,89,91,88,83,89,95,88,95,93,91,81,3,No,89.75,81,95
100054,200004,300054,92,87,97,88,93,90,92,90,90,82,98,88,2.67,No,90.58,82,98
100055,200005,300055,76,82,84,76,84,84,83,70,71,78,76,81,2.33,No,78.75,70,84
100056,200006,300056,83,85,89,90,85,87,84,85,88,82,83,82,3.33,No,85.25,82,90
100057,200007,300057,77,80,84,77,79,80,80,89,82,90,83,77,-3,No,81.5,77,90
100058,200008,300058,68,64,73,61,69,50,84,58,67,52,53,85,5,No,65.33,50,85
100059,200009,300059,80,91,79,76,85,91,91,90,86,81,77,84,2.67,No,84.25,76,91
100060,200010,300060,86,82,78,74,70,66,62,58,54,50,46,42,36,Yes,64,42,86
100061,200011,300061,72,82,85,72,71,74,74,79,72,77,73,83,2,No,76.17,71,85
100062,200012,300062,93,100,98,100,100,95,99,95,87,89,92,92,6,No,95,87,100
100063,200013,300063,77,80,82,80,77,80,75,88,89,90,84,76,-3.67,No,81.5,75,90
100064,200014,300064,83,83,88,76,81,82,80,87,77,81,78,82,4.33,No,81.5,76,88
100065,200015,300065,54,53,60,69,68,78,57,79,69,75,67,82,-19,No,67.58,53,82
100066,200016,300066,99,98,86,85,97,94,92,84,86,91,84,92,5.33,No,90.67,84,99
100067,200017,300067,86,90,100,100,99,93,90,98,100,87,100,96,-2.33,No,94.92,86,100
100068,200018,300068,90,90,83,85,90,93,95,89,92,81,94,82,2,No,88.67,81,95
100069,200019,300069,85,87,80,89,93,77,91,90,78,83,93,88,-4,No,86.17,77,93
100070,200020,300070,90,86,82,78,74,70,66,62,58,54,50,46,36,Yes,68,46,90
100071,200021,300071,96,83,88,90,86,91,96,97,85,82,89,87,3,No,89.17,82,97
100072,200022,300072,85,50,85,76,55,64,57,79,57,59,81,68,4,No,68,50,85
100073,200023,300073,91,96,98,98,90,97,87,95,89,99,87,85,4.67,No,92.67,85,99
100074,200024,300074,88,85,91,83,75,84,84,90,79,89,90,86,-0.33,No,85.33,75,91
100075,200025,300075,89,91,87,83,84,89,84,90,78,87,92,89,-0.33,No,86.92,78,92
100076,200001,300076,83,94,80,83,95,89,82,93,82,95,93,79,-3.33,No,87.33,79,95
100077,200002,300077,84,75,73,86,79,81,83,73,81,83,81,86,-6,No,80.42,73,86
100078,200003,300078,85,86,91,93,91,86,97,87,87,98,89,93,-6,No,90.25,85,98
100079,200004,300079,52,70,53,68,72,73,77,59,65,83,76,61,-15,No,67.42,52,83
100080,200005,300080,76,72,68,64,60,56,52,48,44,40,36,32,36,Yes,54,32,76
100081,200006,300081,74,84,79,87,76,79,86,80,86,80,72,86,-0.33,No,80.75,72,87
100082,200007,300082,81,78,90,87,85,89,84,90,85,82,88,91,-4,No,85.83,78,91
100083,200008,300083,77,82,81,79,79,70,82,78,70,71,85,79,1.67,No,77.75,70,85
100084,200009,300084,85,81,80,82,78,77,75,83,88,75,85,78,2.67,No,80.58,75,88
100085,200010,300085,78,79,82,74,75,73,80,85,85,77,74,77,3.67,No,78.25,73,85
100086,200011,300086,68,71,57,79,54,59,64,75,85,73,55,75,-2.33,No,67.92,54,85
100087,200012,300087,75,70,81,78,75,79,78,70,74,82,70,77,-1,No,75.75,70,82
100088,200013,300088,93,88,100,95,99,89,90,87,87,95,100,89,-1,No,92.67,87,100
100089,200014,300089,77,74,82,84,81,83,74,83,73,85,83,78,-4.33,No,79.75,73,85
100090,200015,300090,72,68,64,60,56,52,48,44,40,36,32,30,35.33,Yes,50.17,30,72
100091,200016,300091,84,92,92,85,89,81,89,89,79,90,86,84,2.67,No,86.67,79,92
100092,200017,300092,84,72,76,70,71,80,77,74,76,72,76,76,2.67,No,75.33,70,84
100093,200018,300093,71,59,50,67,59,58,84,66,61,57,51,58,4.67,No,61.75,50,84
100094,200019,300094,78,74,77,70,72,75,70,71,80,83,70,70,2,No,74.17,70,83
100095,200020,300095,96,93,98,85,96,98,89,83,98,91,96,82,6,No,92.08,82,98
100096,200021,300096,83,80,81,71,83,82,70,70,78,72,70,72,10,No,76,70,83
100097,200022,300097,85,87,91,84,89,91,88,78,78,81,88,89,1.67,No,85.75,78,91
100098,200023,300098,87,84,88,86,87,77,84,87,84,82,85,78,4.67,No,84.08,77,88
100099,200024,300099,84,84,84,84,95,85,93,86,83,92,85,95,-6.67,No,87.5,83,95
100100,200025,300100,82,78,74,70,66,62,58,54,50,46,42,38,36,Yes,60,38,82
100101,200001,300101,81,89,89,91,83,96,86,84,95,87,83,91,-0.67,No,87.92,81,96
100102,200002,300102,95,87,92,91,97,84,92,84,89,92,93,94,-1.67,No,90.83,84,97
100103,200003,300103,78,83,82,90,80,82,78,80,94,84,90,91,-7.33,No,84.33,78,94
100104,200004,300104,91,86,92,90,91,83,82,85,86,82,83,89,5,No,86.67,82,92
100105,200005,300105,94,96,95,94,89,87,97,84,92,94,84,90,5.67,No,91.33,84,97
100106,200006,300106,100,100,94,86,92,97,86,85,91,94,91,89,6.67,No,92.08,85,100
100107,200007,300107,68,70,57,50,81,77,61,58,74,84,64,82,-11.67,No,68.83,50,84
100108,200008,300108,95,86,96,85,97,84,98,86,94,97,96,97,-4.33,No,92.58,84,98
100109,200009,300109,79,88,76,86,81,90,87,78,89,79,83,89,-2.67,No,83.75,76,90
100110,200010,300110,89,85,81,77,73,69,65,61,57,53,49,45,36,Yes,67,45,89
100111,200011,300111,95,81,91,88,89,86,89,84,81,95,82,95,-1.67,No,88,81,95
100112,200012,300112,89,94,94,87,90,86,87,91,89,88,87,85,5.67,No,88.92,85,94
100113,200013,300113,87,86,86,82,82,76,86,74,87,86,81,80,4,No,82.75,74,87
100114,200014,300114,53,72,82,54,69,79,78,52,53,73,68,54,4,No,65.58,52,82
100115,200015,300115,89,100,99,100,88,100,93,97,100,100,91,88,3,No,95.42,88,100
100116,200016,300116,84,91,83,97,86,82,88,95,95,97,97,86,-7.33,No,90.08,82,97
100117,200017,300117,89,87,90,91,88,79,88,80,88,81,90,87,2.67,No,86.5,79,91
100118,200018,300118,79,85,77,79,86,84,87,79,77,84,87,85,-5,No,82.42,77,87
100119,200019,300119,87,73,84,87,82,71,82,80,76,77,81,86,0,No,80.5,71,87
100120,200020,300120,77,73,69,65,61,57,53,49,45,41,37,33,36,Yes,55,33,77
100121,200021,300121,58,59,54,68,56,82,84,83,52,71,58,74,-10.67,No,66.58,52,84
100122,200022,300122,76,76,76,85,72,84,82,78,85,80,85,78,-5,No,79.75,72,85
100123,200023,300123,91,93,99,90,95,98,98,93,96,100,100,97,-4.67,No,95.83,90,100
100124,200024,300124,78,76,80,73,87,83,75,88,75,81,74,77,0.67,No,78.92,73,88
100125,200025,300125,89,91,79,88,77,82,89,86,75,88,76,87,2.67,No,83.92,75,91
100126,200001,300126,94,90,95,85,94,90,83,93,86,93,87,87,4,No,89.75,83,95
100127,200002,300127,77,83,72,83,82,70,70,70,76,74,72,84,0.67,No,76.08,70,84
100128,200003,300128,57,68,65,69,57,53,65,76,79,54,57,81,-0.67,No,65.08,53,81
100129,200004,300129,86,100,93,90,95,99,86,97,93,99,91,88,0.33,No,93.08,86,100
100130,200005,300130,87,83,79,75,71,67,63,59,55,51,47,43,36,Yes,65,43,87
100131,200006,300131,80,94,94,94,78,90,93,79,90,89,86,78,5,No,87.08,78,94
100132,200007,300132,80,89,85,81,88,82,79,89,88,83,92,93,-4.67,No,85.75,79,93
100133,200008,300133,92,91,89,100,88,96,93,88,93,88,97,96,-3,No,92.58,88,100
100134,200009,300134,95,98,91,84,89,92,94,84,93,91,86,94,4.33,No,90.92,84,98
100135,200010,300135,75,78,74,71,61,81,81,73,83,67,55,77,9.33,No,73,55,83
100136,200011,300136,82,74,78,79,72,71,79,78,78,83,82,74,-1.67,No,77.5,71,83
100137,200012,300137,92,95,82,92,94,89,82,83,93,92,97,86,-2,No,89.75,82,97
100138,200013,300138,71,81,70,71,70,74,78,78,79,70,71,81,0,No,74.5,70,81
100139,200014,300139,89,92,80,82,94,89,90,88,86,85,81,78,5.67,No,86.17,78,94
100140,200015,300140,76,72,68,64,60,56,52,48,44,40,36,32,36,Yes,54,32,76
100141,200016,300141,98,94,85,90,90,96,88,91,97,88,85,86,6,No,90.67,85,98
100142,200017,300142,78,61,78,55,70,72,54,85,84,68,69,60,6.67,No,69.5,54,85
100143,200018,300143,92,98,100,94,90,93,91,94,100,87,98,98,2.33,No,94.58,87,100
100144,200019,300144,85,83,83,90,93,96,97,94,94,83,85,91,-2.67,No,89.5,83,97
100145,200020,300145,89,100,100,100,98,91,92,91,100,100,88,90,3.67,No,94.92,88,100
100146,200021,300146,87,92,88,88,93,90,94,99,92,85,91,89,0.67,No,90.67,85,99
100147,200022,300147,95,91,96,89,100,92,91,92,97,88,87,89,6,No,92.25,87,100
100148,200023,300148,76,74,81,70,83,77,77,83,75,80,77,82,-2.67,No,77.92,70,83
100149,200024,300149,53,60,78,76,80,79,63,71,59,70,70,72,-7,No,69.25,53,80
100150,200025,300150,83,79,75,71,67,63,59,55,51,47,43,39,36,Yes,61,39,83
100151,200001,300151,82,87,74,81,78,85,74,79,85,78,75,74,5.33,No,79.33,74,87
100152,200002,300152,77,80,81,75,73,78,78,74,73,83,84,82,-3.67,No,78.17,73,84
100153,200003,300153,91,97,82,84,94,98,96,89,88,93,83,83,3.67,No,89.83,82,98
100154,200004,300154,91,91,85,76,79,89,80,84,87,88,87,77,5,No,84.5,76,91
100155,200005,300155,80,85,90,88,81,91,95,93,87,82,83,82,2.67,No,86.42,80,95
100156,200006,300156,73,71,85,73,59,62,82,75,82,52,52,52,24.33,Yes,68.17,52,85
100157,200007,300157,81,86,87,85,75,87,75,81,81,76,83,80,5,No,81.42,75,87
100158,200008,300158,95,100,100,100,94,100,85,96,95,88,98,94,5,No,95.42,85,100
100159,200009,300159,87,100,95,94,88,100,92,100,99,91,94,88,3,No,94,87,100
100160,200010,300160,89,85,81,77,73,69,65,61,57,53,49,45,36,Yes,67,45,89
100161,200011,300161,76,70,84,80,83,74,83,76,83,86,85,71,-4,No,79.25,70,86
100162,200012,300162,87,77,81,86,87,83,81,76,85,81,82,79,1,No,82.08,76,87
100163,200013,300163,80,62,65,67,85,69,64,69,68,63,81,70,-2.33,No,70.25,62,85
100164,200014,300164,93,90,91,85,94,94,93,86,91,83,91,84,5.33,No,89.58,83,94
100165,200015,300165,92,86,93,84,84,86,86,82,81,85,85,79,7.33,No,85.25,79,93
100166,200016,300166,90,90,84,86,96,93,98,86,87,83,88,96,-1,No,89.75,83,98
100167,200017,300167,100,100,93,96,97,96,88,89,94,88,92,100,4.33,No,94.42,88,100
100168,200018,300168,73,84,87,77,81,73,72,81,75,82,81,86,-1.67,No,79.33,72,87
100169,200019,300169,100,100,91,100,100,95,93,90,97,92,100,95,1.33,No,96.08,90,100
100170,200020,300170,76,72,68,64,60,56,52,48,44,40,36,32,36,Yes,54,32,76
100171,200021,300171,77,76,73,72,79,80,83,77,70,79,70,72,1.67,No,75.67,70,83
100172,200022,300172,86,81,78,71,79,83,78,85,79,81,80,71,4.33,No,79.33,71,86
100173,200023,300173,86,82,76,78,89,84,80,87,91,84,78,84,-0.67,No,83.25,76,91
100174,200024,300174,85,85,82,93,82,92,89,91,93,84,85,80,1,No,86.75,80,93
100175,200025,300175,97,99,94,85,86,84,99,89,87,88,93,99,3.33,No,91.67,84,99
100176,200001,300176,84,87,96,83,97,95,82,95,85,97,94,95,-6.33,No,90.83,82,97
100177,200002,300177,53,85,79,69,51,75,66,50,63,54,52,77,11.33,No,64.5,50,85
100178,200003,300178,80,79,80,93,79,87,91,83,82,91,89,90,-10.33,No,85.33,79,93
100179,200004,300179,93,93,83,85,92,84,86,93,97,85,88,81,5,No,88.33,81,97
100180,200005,300180,71,67,63,59,55,51,47,43,39,35,31,30,35,Yes,49.25,30,71
100181,200006,300181,90,89,88,83,83,90,87,80,84,82,79,77,9.67,No,84.33,77,90
100182,200007,300182,80,87,86,82,83,81,94,81,87,81,92,94,-4.67,No,85.67,80,94
100183,200008,300183,80,75,78,90,83,81,84,84,81,83,78,90,-6,No,82.25,75,90
100184,200009,300184,76,69,67,53,85,61,77,85,81,53,72,74,4.33,No,71.08,53,85
100185,200010,300185,93,96,96,87,92,95,88,98,90,90,92,87,5.33,No,92,87,98
100186,200011,300186,82,94,94,97,85,93,88,89,87,91,83,95,0.33,No,89.83,82,97
100187,200012,300187,80,84,79,86,90,79,80,84,84,93,84,88,-7.33,No,84.25,79,93
100188,200013,300188,76,82,82,79,91,83,82,88,83,86,85,88,-6.33,No,83.75,76,91
100189,200014,300189,92,90,89,92,97,96,95,84,96,91,87,92,0.33,No,91.75,84,97
100190,200015,300190,81,77,73,69,65,61,57,53,49,45,41,37,36,Yes,59,37,81
100191,200016,300191,52,64,59,51,66,85,76,68,59,62,71,64,-7.33,No,64.75,51,85
100192,200017,300192,86,94,89,87,94,94,93,84,90,84,83,94,2.67,No,89.33,83,94
100193,200018,300193,73,88,73,74,73,72,85,76,79,74,76,72,4,No,76.25,72,88
100194,200019,300194,89,87,84,74,88,88,73,73,86,73,73,89,8.33,No,81.42,73,89
100195,200020,300195,84,75,91,88,80,78,78,91,79,82,81,91,-1.33,No,83.17,75,91
100196,200021,300196,86,83,87,77,86,87,89,82,82,84,77,76,6.33,No,83,76,89
100197,200022,300197,81,81,81,84,70,70,74,71,84,82,79,72,3.33,No,77.42,70,84
100198,200023,300198,52,64,63,80,67,52,54,67,84,52,61,70,-1.33,No,63.83,52,84
100199,200024,300199,73,71,79,70,76,72,74,79,77,79,71,70,1,No,74.25,70,79
100200,200025,300200,87,83,79,75,71,67,63,59,55,51,47,43,36,Yes,65,43,87
100201,200001,300201,79,81,91,85,80,88,90,88,78,86,92,93,-6.67,No,85.92,78,93
100202,200002,300202,85,86,87,79,86,76,83,81,76,76,82,78,7.33,No,81.25,76,87
100203,200003,300203,83,91,89,90,82,81,79,88,93,90,87,82,1.33,No,86.25,79,93
100204,200004,300204,73,76,84,85,87,84,74,71,73,82,73,81,-1,No,78.58,71,87
100205,200005,300205,50,68,76,74,55,85,65,83,60,74,60,58,0.67,No,67.33,50,85
100206,200006,300206,84,83,90,79,77,80,88,83,88,84,90,77,2,No,83.58,77,90
100207,200007,300207,86,85,93,84,92,81,82,87,78,90,88,90,-1.33,No,86.33,78,93
100208,200008,300208,91,87,90,81,86,87,83,92,87,82,89,87,3.33,No,86.83,81,92
100209,200009,300209,91,83,86,88,84,88,87,79,82,81,76,90,4.33,No,84.58,76,91
100210,200010,300210,77,73,69,65,61,57,53,49,45,41,37,33,36,Yes,55,33,77
100211,200011,300211,90,83,94,96,85,90,88,89,85,94,93,83,-1,No,89.17,83,96
100212,200012,300212,80,75,84,82,76,84,52,73,84,55,56,65,21,Yes,72.17,52,84
100213,200013,300213,83,79,90,88,91,81,78,81,86,85,94,94,-7,No,85.83,78,94
100214,200014,300214,91,98,95,96,98,100,88,95,84,99,87,93,1.67,No,93.67,84,100
100215,200015,300215,82,83,84,91,89,90,94,86,96,95,91,95,-10.67,No,89.67,82,96
100216,200016,300216,84,84,80,72,79,71,73,70,80,73,75,77,7.67,No,76.5,70,84
100217,200017,300217,88,88,93,96,97,90,95,88,88,96,95,83,-1.67,No,91.42,83,97
100218,200018,300218,92,100,99,98,86,92,92,94,88,89,91,97,4.67,No,93.17,86,100
100219,200019,300219,62,79,57,66,81,83,70,74,75,57,72,72,-1,No,70.67,57,83
100220,200020,300220,85,81,77,73,69,65,61,57,53,49,45,41,36,Yes,63,41,85
100221,200021,300221,91,95,88,90,96,89,93,95,89,91,97,90,-1.33,No,92,88,97
100222,200022,300222,95,96,87,95,96,88,98,88,88,98,92,87,0.33,No,92.33,87,98
100223,200023,300223,82,86,73,83,72,87,76,78,84,88,87,85,-6.33,No,81.75,72,88
100224,200024,300224,95,96,97,87,84,82,89,91,83,90,89,91,6,No,89.5,82,97
100225,200025,300225,86,87,88,75,75,80,83,73,86,78,85,75,7.67,No,80.92,73,88
100226,200001,300226,65,69,52,78,66,72,55,78,57,65,63,72,-4.67,No,66,52,78
100227,200002,300227,99,91,90,92,92,87,97,94,91,96,95,95,-2,No,93.25,87,99
100228,200003,300228,93,100,88,89,98,86,93,89,89,92,89,95,1.67,No,91.75,86,100
100229,200004,300229,86,89,78,82,87,86,88,76,76,86,90,82,-1.67,No,83.83,76,90
100230,200005,300230,82,78,74,70,66,62,58,54,50,46,42,38,36,Yes,60,38,82
100231,200006,300231,96,91,81,83,95,92,83,93,87,94,87,96,-3,No,89.83,81,96
100232,200007,300232,85,84,85,79,90,85,76,76,78,89,75,78,4,No,81.67,75,90
100233,200008,300233,78,79,50,77,62,58,69,60,67,55,73,66,4.33,No,66.17,50,79
100234,200009,300234,80,74,70,81,78,76,82,71,72,70,75,84,-1.67,No,76.08,70,84
100235,200010,300235,73,76,85,83,70,70,79,72,82,73,84,71,2,No,76.5,70,85
100236,200011,300236,86,76,77,77,84,85,83,78,86,78,78,76,2.33,No,80.33,76,86
100237,200012,300237,83,88,97,94,89,87,96,97,89,85,86,87,3.33,No,89.83,83,97
100238,200013,300238,82,81,83,80,74,77,78,72,77,79,70,79,6,No,77.67,70,83
100239,200014,300239,89,89,79,85,82,74,80,88,85,76,80,88,4.33,No,82.92,74,89
100240,200015,300240,91,87,83,79,75,71,67,63,59,55,51,47,36,Yes,69,47,91
100241,200016,300241,88,100,86,97,96,90,98,99,97,91,100,88,-1.67,No,94.17,86,100
100242,200017,300242,70,70,75,73,70,70,79,83,76,83,80,80,-9.33,No,75.75,70,83
100243,200018,300243,81,83,87,81,88,81,95,85,83,89,91,81,-3.33,No,85.42,81,95
100244,200019,300244,89,83,77,83,78,89,79,90,77,85,81,79,1.33,No,82.5,77,90
100245,200020,300245,71,70,72,82,78,83,83,75,72,78,71,75,-3.67,No,75.83,70,83
100246,200021,300246,70,80,83,78,86,72,78,72,85,84,86,81,-6,No,79.58,70,86
100247,200022,300247,81,60,73,60,66,56,57,64,82,50,52,50,20.67,Yes,62.58,50,82
100248,200023,300248,75,89,85,86,78,79,75,87,81,84,81,87,-1,No,82.25,75,89
100249,200024,300249,85,79,88,80,93,78,82,84,93,78,89,79,2,No,84,78,93
100250,200025,300250,85,81,77,73,69,65,61,57,53,49,45,41,36,Yes,63,41,85
100251,200001,300251,85,86,78,90,76,87,82,85,85,83,90,87,-3.67,No,84.5,76,90
100252,200002,300252,100,91,92,89,85,98,85,92,96,85,95,85,6,No,91.08,85,100
100253,200003,300253,88,82,85,95,86,92,94,80,83,87,81,80,2.33,No,86.08,80,95
100254,200004,300254,83,76,73,79,55,56,82,58,75,54,53,77,16,Yes,68.42,53,83
100255,200005,300255,78,80,79,81,83,81,81,85,79,78,73,77,3,No,79.58,73,85
100256,200006,300256,74,75,74,76,85,85,81,84,74,82,77,85,-7,No,79.33,74,85
100257,200007,300257,90,84,79,78,81,85,77,82,86,80,78,83,4,No,81.92,77,90
100258,200008,300258,90,94,79,87,86,83,78,90,92,85,81,92,1.67,No,86.42,78,94
100259,200009,300259,74,73,70,71,77,74,76,82,81,72,78,72,-1.67,No,75,70,82
100260,200010,300260,71,67,63,59,55,51,47,43,39,35,31,30,35,Yes,49.25,30,71
100261,200011,300261,62,78,58,55,71,57,52,79,53,60,77,75,-4.67,No,64.75,52,79
100262,200012,300262,82,94,95,87,93,88,87,90,90,96,86,83,2,No,89.25,82,96
100263,200013,300263,93,95,100,99,100,87,88,94,98,90,99,92,2.33,No,94.58,87,100
100264,200014,300264,100,94,87,99,98,100,100,98,100,97,99,95,-3.33,No,97.25,87,100
100265,200015,300265,72,82,79,72,80,73,87,88,83,79,77,75,0.67,No,78.92,72,88
100266,200016,300266,81,82,75,81,86,85,79,79,81,84,85,74,-1.67,No,81,74,86
100267,200017,300267,82,84,93,87,83,93,79,80,79,85,85,78,3.67,No,84,78,93
100268,200018,300268,80,50,71,62,58,71,61,70,53,51,59,59,10.67,No,62.08,50,80
100269,200019,300269,86,81,72,81,82,73,80,79,80,74,75,83,2.33,No,78.83,72,86
100270,200020,300270,91,87,83,79,75,71,67,63,59,55,51,47,36,Yes,69,47,91
100271,200021,300271,92,87,93,89,87,94,91,91,86,87,82,94,3,No,89.42,82,94
100272,200022,300272,86,90,95,92,88,100,89,95,87,92,96,95,-4,No,92.08,86,100
100273,200023,300273,74,82,86,72,80,78,79,74,83,80,75,72,5,No,77.92,72,86
100274,200024,300274,80,82,81,73,81,83,80,79,80,71,83,75,4.67,No,79,71,83
100275,200025,300275,78,54,52,68,51,70,66,56,54,71,60,74,-7,No,62.83,51,78
100276,200001,300276,74,74,82,87,72,85,77,85,77,73,75,82,0,No,78.58,72,87
100277,200002,300277,79,86,81,82,82,80,76,74,85,88,77,74,2.33,No,80.33,74,88
100278,200003,300278,78,91,80,87,93,84,81,78,84,83,87,80,-0.33,No,83.83,78,93
100279,200004,300279,85,91,94,97,97,90,84,94,87,93,94,93,-3.33,No,91.58,84,97
100280,200005,300280,76,72,68,64,60,56,52,48,44,40,36,32,36,Yes,54,32,76
100281,200006,300281,82,89,95,95,89,88,89,82,85,84,83,92,2.33,No,87.75,82,95
100282,200007,300282,76,64,85,53,74,83,76,84,80,65,80,69,3.67,No,74.08,53,85
100283,200008,300283,81,70,85,85,73,72,83,74,74,75,75,73,4.33,No,76.67,70,85
100284,200009,300284,81,70,81,74,72,76,78,70,70,80,80,78,-2,No,75.83,70,81
100285,200010,300285,91,89,75,91,88,78,88,79,79,78,78,78,7,No,82.67,75,91
100286,200011,300286,87,89,84,88,91,91,77,81,84,88,80,88,1.33,No,85.67,77,91
100287,200012,300287,80,78,75,70,83,76,79,70,78,77,77,76,1,No,76.58,70,83
100288,200013,300288,85,89,86,91,96,92,90,95,84,88,96,88,-4,No,90,84,96
100289,200014,300289,81,83,73,53,82,60,54,69,82,75,58,83,7,No,71.08,53,83
100290,200015,300290,89,85,81,77,73,69,65,61,57,53,49,45,36,Yes,67,45,89
100291,200016,300291,72,73,73,70,74,70,81,70,78,73,75,78,-2.67,No,73.92,70,81
100292,200017,300292,97,93,84,81,88,92,96,95,86,96,92,92,-2,No,91,81,97
100293,200018,300293,80,74,81,72,84,73,77,78,79,79,78,80,-0.67,No,77.92,72,84
