assessment_id,student_id,subject,assessment_type,date,max_marks,obtained_marks,percentage,grade,term,remarks
ASS_INST_002_000093,STU_INST_002_0008,Computer Science,Half Yearly Exam,2025-06-21,80,26,32.9,D,Final Term,Needs Improvement
ASS_INST_002_000094,STU_INST_002_0008,Science,Assignment,2025-06-24,25,18,72.1,B1,First Term,Very Good
ASS_INST_002_000095,STU_INST_002_0008,Social Studies,Quiz,2025-06-10,25,13,52.7,C1,Final Term,Satisfactory
ASS_INST_002_000096,STU_INST_002_0008,Science,Monthly Test,2025-06-09,25,8,32.1,D,First Term,Needs Improvement
ASS_INST_002_000097,STU_INST_002_0008,Economics,Final Exam,2025-05-20,20,6,34.6,D,Second Term,Needs Improvement
ASS_INST_002_000098,STU_INST_002_0008,English,Quiz,2025-07-19,100,26,26.9,D,Second Term,Needs Improvement
ASS_INST_002_000099,STU_INST_002_0008,Economics,Project Work,2025-07-23,100,45,45.5,C2,Final Term,Needs Improvement
ASS_INST_002_000100,STU_INST_002_0008,Accountancy,Practical Exam,2025-06-25,25,13,55.6,C1,First Term,Satisfactory
ASS_INST_002_000101,STU_INST_002_0008,Science,Quiz,2025-07-04,100,74,74.7,B1,Second Term,Very Good
ASS_INST_002_000102,STU_INST_002_0008,Sanskrit,Final Exam,2025-09-09,20,13,66.4,B2,Second Term,Good
ASS_INST_002_000103,STU_INST_002_0008,Chemistry,Monthly Test,2025-07-23,25,11,47.5,C2,Final Term,Needs Improvement
ASS_INST_002_000104,STU_INST_002_0008,Mathematics,Viva Voce,2025-07-14,20,6,34.4,D,Second Term,Needs Improvement
ASS_INST_002_000105,STU_INST_002_0008,Biology,Assignment,2025-08-18,100,55,55.1,C1,Final Term,Satisfactory
ASS_INST_002_000106,STU_INST_002_0008,English,Unit Test,2025-07-18,25,3,15.0,D,First Term,Needs Improvement
ASS_INST_002_000107,STU_INST_002_0009,English,Quiz,2025-07-26,80,29,36.3,D,First Term,Needs Improvement
ASS_INST_002_000108,STU_INST_002_0009,Chemistry,Internal Assessment,2025-08-30,25,15,61.9,B2,Second Term,Good
ASS_INST_002_000109,STU_INST_002_0009,Hindi,Unit Test,2025-08-27,80,52,66.2,B2,Second Term,Good
ASS_INST_002_000110,STU_INST_002_0009,Mathematics,Assignment,2025-08-06,100,73,74.0,B1,First Term,Very Good
ASS_INST_002_000111,STU_INST_002_0009,Chemistry,Half Yearly Exam,2025-08-17,50,24,48.4,C2,Final Term,Needs Improvement
ASS_INST_002_000112,STU_INST_002_0009,Economics,Internal Assessment,2025-07-04,80,59,73.8,B1,Second Term,Very Good
ASS_INST_002_000113,STU_INST_002_0009,Economics,Quiz,2025-06-24,100,43,43.5,C2,First Term,Needs Improvement
ASS_INST_002_000114,STU_INST_002_0009,English,Project Work,2025-06-07,25,10,42.1,C2,Second Term,Needs Improvement
ASS_INST_002_000115,STU_INST_002_0009,English,Internal Assessment,2025-07-17,100,55,56.0,C1,First Term,Satisfactory
ASS_INST_002_000116,STU_INST_002_0009,Economics,Viva Voce,2025-09-14,25,17,71.0,B1,Second Term,Very Good
ASS_INST_002_000117,STU_INST_002_0009,Sanskrit,Practical Exam,2025-06-03,50,33,67.3,B2,Final Term,Good
ASS_INST_002_000118,STU_INST_002_0009,Sanskrit,Monthly Test,2025-08-23,20,13,69.0,B2,Second Term,Good
ASS_INST_002_000119,STU_INST_002_0009,Physics,Unit Test,2025-06-18,25,14,59.9,C1,First Term,Satisfactory
ASS_INST_002_000120,STU_INST_002_0010,Economics,Final Exam,2025-08-11,80,56,71.1,B1,First Term,Very Good
ASS_INST_002_000121,STU_INST_002_0010,Hindi,Final Exam,2025-08-15,100,54,54.3,C1,Second Term,Satisfactory
ASS_INST_002_000122,STU_INST_002_0010,Computer Science,Viva Voce,2025-06-22,25,14,59.5,C1,First Term,Satisfactory
ASS_INST_002_000123,STU_INST_002_0010,Sanskrit,Quiz,2025-09-02,100,100,100.0,A1,Final Term,Outstanding
ASS_INST_002_000124,STU_INST_002_0010,Mathematics,Unit Test,2025-08-04,25,17,69.6,B2,Final Term,Good
ASS_INST_002_000125,STU_INST_002_0010,Hindi,Monthly Test,2025-07-12,80,43,54.2,C1,Second Term,Satisfactory
ASS_INST_002_000126,STU_INST_002_0010,Economics,Project Work,2025-06-12,100,68,68.3,B2,Second Term,Good
ASS_INST_002_000127,STU_INST_002_0010,Accountancy,Final Exam,2025-06-10,100,34,34.8,D,First Term,Needs Improvement
ASS_INST_002_000128,STU_INST_002_0010,Mathematics,Quiz,2025-06-24,50,24,48.0,C2,First Term,Needs Improvement
ASS_INST_002_000129,STU_INST_002_0010,Physics,Final Exam,2025-09-12,25,12,50.2,C1,Final Term,Satisfactory
ASS_INST_002_000130,STU_INST_002_0010,Chemistry,Unit Test,2025-07-09,80,32,40.9,C2,First Term,Needs Improvement
ASS_INST_002_000131,STU_INST_002_0010,Chemistry,Practical Exam,2025-08-03,100,85,85.7,A2,First Term,Excellent
ASS_INST_002_000132,STU_INST_002_0010,Sanskrit,Half Yearly Exam,2025-08-28,80,49,62.3,B2,First Term,Good
ASS_INST_002_000133,STU_INST_002_0011,Hindi,Final Exam,2025-06-02,100,62,62.1,B2,Final Term,Good
ASS_INST_002_000134,STU_INST_002_0011,Social Studies,Quiz,2025-06-27,25,12,49.7,C2,Final Term,Needs Improvement
ASS_INST_002_000135,STU_INST_002_0011,Physics,Internal Assessment,2025-08-16,50,15,30.8,D,First Term,Needs Improvement
ASS_INST_002_000136,STU_INST_002_0011,Biology,Half Yearly Exam,2025-07-18,25,12,50.4,C1,Second Term,Satisfactory
ASS_INST_002_000137,STU_INST_002_0011,Computer Science,Practical Exam,2025-08-20,100,43,44.0,C2,First Term,Needs Improvement
ASS_INST_002_000138,STU_INST_002_0011,Sanskrit,Half Yearly Exam,2025-07-21,25,8,33.3,D,Second Term,Needs Improvement
ASS_INST_002_000139,STU_INST_002_0011,Computer Science,Final Exam,2025-09-13,20,13,65.2,B2,Final Term,Good
ASS_INST_002_000140,STU_INST_002_0011,Accountancy,Assignment,2025-06-12,25,11,46.8,C2,Second Term,Needs Improvement
ASS_INST_002_000141,STU_INST_002_0011,Hindi,Monthly Test,2025-08-24,25,4,19.5,D,First Term,Needs Improvement
ASS_INST_002_000142,STU_INST_002_0011,Sanskrit,Half Yearly Exam,2025-08-14,20,10,51.6,C1,First Term,Satisfactory
ASS_INST_002_000143,STU_INST_002_0011,Social Studies,Practical Exam,2025-08-26,20,10,51.9,C1,Final Term,Satisfactory
ASS_INST_002_000144,STU_INST_002_0011,Sanskrit,Assignment,2025-08-11,25,16,65.1,B2,Second Term,Good
ASS_INST_002_000145,STU_INST_002_0011,Sanskrit,Unit Test,2025-08-02,25,13,53.7,C1,First Term,Satisfactory
ASS_INST_002_000146,STU_INST_002_0011,Science,Unit Test,2025-06-02,20,8,40.5,C2,Final Term,Needs Improvement
ASS_INST_002_000147,STU_INST_002_0012,Social Studies,Internal Assessment,2025-07-19,20,9,47.8,C2,Final Term,Needs Improvement
ASS_INST_002_000148,STU_INST_002_0012,Science,Assignment,2025-05-28,80,21,27.1,D,Final Term,Needs Improvement
ASS_INST_002_000149,STU_INST_002_0012,Physics,Assignment,2025-07-31,20,10,51.5,C1,Second Term,Satisfactory
ASS_INST_002_000150,STU_INST_002_0012,Economics,Practical Exam,2025-08-15,80,47,59.6,C1,Final Term,Satisfactory
ASS_INST_002_000151,STU_INST_002_0012,Social Studies,Quiz,2025-06-10,80,0,0.0,D,Final Term,Needs Improvement
ASS_INST_002_000152,STU_INST_002_0012,Physics,Assignment,2025-07-12,50,12,25.3,D,Final Term,Needs Improvement
ASS_INST_002_000153,STU_INST_002_0012,Accountancy,Final Exam,2025-06-12,50,23,47.2,C2,Second Term,Needs Improvement
ASS_INST_002_000154,STU_INST_002_0012,Physics,Project Work,2025-08-12,25,10,40.5,C2,Final Term,Needs Improvement
ASS_INST_002_000155,STU_INST_002_0012,Biology,Assignment,2025-07-17,20,12,62.2,B2,Second Term,Good
ASS_INST_002_000156,STU_INST_002_0012,Sanskrit,Monthly Test,2025-05-28,50,30,61.3,B2,First Term,Good
ASS_INST_002_000157,STU_INST_002_0012,Accountancy,Unit Test,2025-07-05,100,55,55.5,C1,Second Term,Satisfactory
ASS_INST_002_000158,STU_INST_002_0012,Mathematics,Quiz,2025-08-31,50,4,8.5,D,First Term,Needs Improvement
ASS_INST_002_000159,STU_INST_002_0012,Social Studies,Project Work,2025-05-24,100,35,35.9,D,Final Term,Needs Improvement
ASS_INST_002_000160,STU_INST_002_0012,Science,Assignment,2025-08-17,20,10,50.3,C1,First Term,Satisfactory
ASS_INST_002_000161,STU_INST_002_0012,Economics,Practical Exam,2025-06-21,25,9,38.3,D,Second Term,Needs Improvement
ASS_INST_002_000162,STU_INST_002_0013,Sanskrit,Assignment,2025-07-02,80,53,66.9,B2,Second Term,Good
ASS_INST_002_000163,STU_INST_002_0013,Computer Science,Final Exam,2025-08-30,80,73,91.5,A1,Second Term,Outstanding
ASS_INST_002_000164,STU_INST_002_0013,Chemistry,Monthly Test,2025-09-04,20,15,75.6,B1,Second Term,Very Good
ASS_INST_002_000165,STU_INST_002_0013,Social Studies,Internal Assessment,2025-08-31,100,64,64.6,B2,Final Term,Good
ASS_INST_002_000166,STU_INST_002_0013,Chemistry,Final Exam,2025-06-30,50,23,47.8,C2,Second Term,Needs Improvement
ASS_INST_002_000167,STU_INST_002_0013,Accountancy,Half Yearly Exam,2025-07-25,100,100,100.0,A1,First Term,Outstanding
ASS_INST_002_000168,STU_INST_002_0013,Sanskrit,Unit Test,2025-06-22,25,18,74.6,B1,Second Term,Very Good
ASS_INST_002_000169,STU_INST_002_0013,Physics,Internal Assessment,2025-09-15,100,60,60.8,B2,First Term,Good
ASS_INST_002_000170,STU_INST_002_0013,Social Studies,Viva Voce,2025-06-27,25,21,86.0,A2,First Term,Excellent
ASS_INST_002_000171,STU_INST_002_0013,Biology,Internal Assessment,2025-09-03,80,32,40.3,C2,Second Term,Needs Improvement
ASS_INST_002_000172,STU_INST_002_0013,Social Studies,Final Exam,2025-06-24,25,25,100.0,A1,Final Term,Outstanding
ASS_INST_002_000173,STU_INST_002_0013,Economics,Internal Assessment,2025-06-05,80,64,80.2,A2,First Term,Excellent
ASS_INST_002_000174,STU_INST_002_0013,Social Studies,Assignment,2025-09-10,20,20,100.0,A1,Final Term,Outstanding
ASS_INST_002_000175,STU_INST_002_0013,Computer Science,Quiz,2025-06-13,20,16,80.6,A2,Final Term,Excellent
ASS_INST_002_000176,STU_INST_002_0013,Chemistry,Half Yearly Exam,2025-07-24,25,18,73.5,B1,First Term,Very Good
ASS_INST_002_000177,STU_INST_002_0014,Hindi,Monthly Test,2025-09-09,50,19,38.8,D,First Term,Needs Improvement
ASS_INST_002_000178,STU_INST_002_0014,Hindi,Project Work,2025-09-14,20,8,41.8,C2,Final Term,Needs Improvement
ASS_INST_002_000179,STU_INST_002_0014,Hindi,Unit Test,2025-07-13,25,6,27.4,D,First Term,Needs Improvement
ASS_INST_002_000180,STU_INST_002_0014,Computer Science,Internal Assessment,2025-07-09,20,17,85.3,A2,First Term,Excellent
ASS_INST_002_000181,STU_INST_002_0014,Mathematics,Practical Exam,2025-09-03,20,10,52.1,C1,Second Term,Satisfactory
ASS_INST_002_000182,STU_INST_002_0014,Chemistry,Practical Exam,2025-06-11,20,13,65.4,B2,Second Term,Good
ASS_INST_002_000183,STU_INST_002_0014,Computer Science,Monthly Test,2025-08-30,80,54,68.2,B2,First Term,Good
ASS_INST_002_000184,STU_INST_002_0014,Computer Science,Half Yearly Exam,2025-05-22,50,22,45.7,C2,First Term,Needs Improvement
ASS_INST_002_000185,STU_INST_002_0014,Computer Science,Half Yearly Exam,2025-05-24,25,8,35.2,D,Second Term,Needs Improvement
ASS_INST_002_000186,STU_INST_002_0014,Science,Quiz,2025-06-08,50,18,36.8,D,Second Term,Needs Improvement
ASS_INST_002_000187,STU_INST_002_0014,Mathematics,Viva Voce,2025-07-05,100,21,21.8,D,Second Term,Needs Improvement
ASS_INST_002_000188,STU_INST_002_0014,English,Quiz,2025-09-11,50,14,29.5,D,First Term,Needs Improvement
ASS_INST_002_000189,STU_INST_002_0014,Hindi,Quiz,2025-08-02,25,14,59.3,C1,First Term,Satisfactory
ASS_INST_002_000190,STU_INST_002_0014,Accountancy,Quiz,2025-08-31,25,17,68.1,B2,First Term,Good
ASS_INST_002_000191,STU_INST_002_0014,Mathematics,Viva Voce,2025-07-30,80,39,49.8,C2,Final Term,Needs Improvement
ASS_INST_002_000192,STU_INST_002_0014,Biology,Project Work,2025-08-24,100,66,66.3,B2,First Term,Good
ASS_INST_002_000193,STU_INST_002_0015,Biology,Monthly Test,2025-05-28,50,25,51.7,C1,Final Term,Satisfactory
ASS_INST_002_000194,STU_INST_002_0015,Economics,Half Yearly Exam,2025-07-09,25,7,29.0,D,First Term,Needs Improvement
ASS_INST_002_000195,STU_INST_002_0015,Social Studies,Assignment,2025-08-25,20,10,54.3,C1,First Term,Satisfactory
ASS_INST_002_000196,STU_INST_002_0015,Physics,Quiz,2025-05-31,20,6,31.8,D,Second Term,Needs Improvement
ASS_INST_002_000197,STU_INST_002_0015,Accountancy,Assignment,2025-07-18,50,13,27.0,D,Second Term,Needs Improvement
ASS_INST_002_000198,STU_INST_002_0015,Accountancy,Unit Test,2025-05-22,100,36,36.2,D,Final Term,Needs Improvement
ASS_INST_002_000199,STU_INST_002_0015,Chemistry,Quiz,2025-07-29,25,2,9.3,D,First Term,Needs Improvement
ASS_INST_002_000200,STU_INST_002_0015,Computer Science,Quiz,2025-09-03,50,17,34.0,D,First Term,Needs Improvement
ASS_INST_002_000201,STU_INST_002_0015,Science,Quiz,2025-06-06,80,0,0.0,D,Second Term,Needs Improvement
ASS_INST_002_000202,STU_INST_002_0015,Biology,Unit Test,2025-05-19,50,23,46.8,C2,First Term,Needs Improvement
ASS_INST_002_000203,STU_INST_002_0015,Hindi,Monthly Test,2025-09-07,25,2,11.4,D,Final Term,Needs Improvement
ASS_INST_002_000204,STU_INST_002_0015,Mathematics,Internal Assessment,2025-08-16,50,17,34.6,D,First Term,Needs Improvement
ASS_INST_002_000205,STU_INST_002_0015,Mathematics,Assignment,2025-06-09,100,61,61.4,B2,First Term,Good
ASS_INST_002_000206,STU_INST_002_0015,Physics,Final Exam,2025-08-14,20,7,36.0,D,Final Term,Needs Improvement
ASS_INST_002_000207,STU_INST_002_0016,Hindi,Project Work,2025-09-03,50,8,17.3,D,Final Term,Needs Improvement
ASS_INST_002_000208,STU_INST_002_0016,Accountancy,Project Work,2025-09-15,20,10,53.7,C1,Second Term,Satisfactory
ASS_INST_002_000209,STU_INST_002_0016,Chemistry,Unit Test,2025-08-27,100,46,46.8,C2,First Term,Needs Improvement
ASS_INST_002_000210,STU_INST_002_0016,Economics,Project Work,2025-06-30,50,34,68.1,B2,Final Term,Good
ASS_INST_002_000211,STU_INST_002_0016,Mathematics,Half Yearly Exam,2025-06-11,25,12,49.3,C2,Final Term,Needs Improvement
ASS_INST_002_000212,STU_INST_002_0016,Computer Science,Quiz,2025-06-16,80,57,71.4,B1,Final Term,Very Good
ASS_INST_002_000213,STU_INST_002_0016,Chemistry,Final Exam,2025-08-21,20,11,59.2,C1,Second Term,Satisfactory
ASS_INST_002_000214,STU_INST_002_0016,Chemistry,Practical Exam,2025-08-14,80,53,67.1,B2,First Term,Good
ASS_INST_002_000215,STU_INST_002_0016,Hindi,Internal Assessment,2025-06-30,20,9,49.7,C2,First Term,Needs Improvement
ASS_INST_002_000216,STU_INST_002_0016,Physics,Half Yearly Exam,2025-07-05,25,18,74.5,B1,First Term,Very Good
ASS_INST_002_000217,STU_INST_002_0016,Physics,Assignment,2025-05-25,80,33,42.2,C2,Second Term,Needs Improvement
ASS_INST_002_000218,STU_INST_002_0016,Accountancy,Final Exam,2025-06-17,50,9,18.4,D,First Term,Needs Improvement
