incident_id,student_id,date,incident_type,severity,description,reported_by,action_taken,parent_informed,follow_up_required,resolved,counselor_involved
BEH_INST_002_000012,STU_INST_002_0008,2025-03-02,Uniform Violation,Major,Student involved in uniform violation during assembly,Principal Navya Shah,Written Warning,False,True,False,False
BEH_INST_002_000013,STU_INST_002_0009,2025-07-16,Classroom Disruption,Major,Student involved in classroom disruption during sports period,Subject Teacher Riya Gupta,Written Warning,True,False,True,False
BEH_INST_002_000014,STU_INST_002_0010,2025-07-28,Uniform Violation,Minor,Student involved in uniform violation during break time,Class Teacher Karan Desai,Parent Meeting,True,False,False,False
BEH_INST_002_000015,STU_INST_002_0010,2025-05-07,Verbal Abuse,Minor,Student involved in verbal abuse during sports period,Principal Deepika Mehta,Apology Letter,False,False,True,False
BEH_INST_002_000016,STU_INST_002_0011,2025-08-13,Verbal Abuse,Minor,Student involved in verbal abuse during break time,Class Teacher Kriti Suthar,Written Warning,True,True,True,False
BEH_INST_002_000017,STU_INST_002_0012,2025-04-06,Bullying,Minor,Student involved in bullying during sports period,Subject Teacher Aarohi Kar,Suspension,False,True,True,False
BEH_INST_002_000018,STU_INST_002_0014,2025-09-12,Fighting,Minor,Student involved in fighting during break time,Subject Teacher Rahul Vyas,After School Detention,False,True,False,False
BEH_INST_002_000019,STU_INST_002_0015,2025-05-03,Disrespect to Teacher,Severe,Student involved in disrespect to teacher during assembly,Discipline Incharge Amit Vyas,Apology Letter,True,False,False,False
BEH_INST_002_000020,STU_INST_002_0015,2025-09-02,Fighting,Major,Student involved in fighting during break time,Subject Teacher Priya Mitra,Written Warning,True,True,False,True
BEH_INST_002_000021,STU_INST_002_0017,2025-07-10,Damage to Property,Minor,Student involved in damage to property during assembly,Principal Atharv Mukherjee,Verbal Warning,True,False,True,False
BEH_INST_002_000022,STU_INST_002_0019,2025-09-09,Disrespect to Teacher,Moderate,Student involved in disrespect to teacher during break time,Discipline Incharge Diya Venkatesh,After School Detention,True,False,True,False
BEH_INST_002_000023,STU_INST_002_0022,2025-07-19,Classroom Disruption,Severe,Student involved in classroom disruption during class hours,Subject Teacher Aarohi Bose,Parent Meeting,False,False,True,False
BEH_INST_002_000024,STU_INST_002_0023,2025-03-19,Verbal Abuse,Major,Student involved in verbal abuse during class hours,Discipline Incharge Rekha Reddy,After School Detention,False,False,False,True
BEH_INST_002_000025,STU_INST_002_0023,2025-04-12,Bunking Classes,Minor,Student involved in bunking classes during sports period,Subject Teacher Shaurya Shah,Behavior Contract,False,True,True,False
BEH_INST_002_000026,STU_INST_002_0024,2025-05-27,Verbal Abuse,Severe,Student involved in verbal abuse during assembly,Class Teacher Tanvi Bhardwaj,Written Warning,False,False,False,False
BEH_INST_002_000027,STU_INST_002_0025,2025-03-05,Classroom Disruption,Major,Student involved in classroom disruption during break time,Principal Kavita Roy,Parent Meeting,False,False,True,False
BEH_INST_002_000028,STU_INST_002_0025,2025-03-10,Incomplete Homework,Severe,Student involved in incomplete homework during class hours,Class Teacher Sara More,Community Service,True,False,False,False
BEH_INST_002_000029,STU_INST_002_0026,2025-05-04,Classroom Disruption,Minor,Student involved in classroom disruption during assembly,Class Teacher Om Gowda,Parent Meeting,True,False,False,False
BEH_INST_002_000030,STU_INST_002_0027,2025-03-30,Damage to Property,Moderate,Student involved in damage to property during sports period,Class Teacher Sana Rao,Counseling,True,False,False,False
BEH_INST_002_000031,STU_INST_002_0028,2025-08-22,Verbal Abuse,Severe,Student involved in verbal abuse during assembly,Principal Om Vyas,Parent Meeting,False,False,False,True
BEH_INST_002_000032,STU_INST_002_0031,2025-06-30,Mobile Phone Usage,Severe,Student involved in mobile phone usage during assembly,Principal Varun Goyal,Community Service,False,False,True,False
BEH_INST_002_000033,STU_INST_002_0032,2025-04-09,Fighting,Moderate,Student involved in fighting during class hours,Discipline Incharge Aditya Ghosh,Verbal Warning,False,False,False,True
BEH_INST_002_000034,STU_INST_002_0033,2025-06-10,Verbal Abuse,Severe,Student involved in verbal abuse during assembly,Subject Teacher Ravi Kar,Apology Letter,True,False,True,False
BEH_INST_002_000035,STU_INST_002_0033,2025-07-28,Damage to Property,Severe,Student involved in damage to property during break time,Subject Teacher Dev Kale,Verbal Warning,True,False,False,False
BEH_INST_002_000036,STU_INST_002_0033,2025-04-15,Verbal Abuse,Moderate,Student involved in verbal abuse during sports period,Class Teacher Ishaan Shah,Verbal Warning,False,True,True,True
BEH_INST_002_000037,STU_INST_002_0035,2025-05-30,Late Coming,Major,Student involved in late coming during class hours,Principal Akash Chaturvedi,Parent Meeting,True,True,True,False
BEH_INST_002_000038,STU_INST_002_0036,2025-07-30,Disrespect to Teacher,Moderate,Student involved in disrespect to teacher during class hours,Discipline Incharge Sana Parikh,Parent Meeting,False,False,False,False
BEH_INST_002_000039,STU_INST_002_0037,2025-05-02,Classroom Disruption,Major,Student involved in classroom disruption during class hours,Subject Teacher Shreya Venkatesh,Behavior Contract,False,False,False,False
BEH_INST_002_000040,STU_INST_002_0037,2025-08-07,Bullying,Moderate,Student involved in bullying during sports period,Class Teacher Kabir Biswas,Counseling,False,False,False,False
BEH_INST_002_000041,STU_INST_002_0038,2025-04-16,Classroom Disruption,Minor,Student involved in classroom disruption during assembly,Principal Deepak Shukla,Written Warning,False,False,False,False
BEH_INST_002_000042,STU_INST_002_0040,2025-06-28,Bullying,Moderate,Student involved in bullying during sports period,Discipline Incharge Shriya Verma,Verbal Warning,False,True,True,True
BEH_INST_002_000043,STU_INST_002_0041,2025-08-05,Incomplete Homework,Severe,Student involved in incomplete homework during break time,Subject Teacher Nidhi Shetty,Suspension,False,True,True,False
BEH_INST_002_000044,STU_INST_002_0042,2025-09-06,Incomplete Homework,Minor,Student involved in incomplete homework during break time,Subject Teacher Isha Saxena,Suspension,False,True,True,False
BEH_INST_002_000045,STU_INST_002_0044,2025-06-28,Incomplete Homework,Moderate,Student involved in incomplete homework during sports period,Subject Teacher Maya Mathur,Parent Meeting,False,True,False,False
BEH_INST_002_000046,STU_INST_002_0044,2025-03-18,Mobile Phone Usage,Major,Student involved in mobile phone usage during break time,Principal Yogesh Roy,Counseling,True,True,False,False
BEH_INST_002_000047,STU_INST_002_0045,2025-03-05,Verbal Abuse,Major,Student involved in verbal abuse during break time,Subject Teacher Kabir Ganguly,Behavior Contract,False,True,False,False
BEH_INST_002_000048,STU_INST_002_0047,2025-04-20,Uniform Violation,Severe,Student involved in uniform violation during class hours,Subject Teacher Manisha Desai,Apology Letter,True,True,True,False
BEH_INST_002_000049,STU_INST_002_0047,2025-05-18,Fighting,Moderate,Student involved in fighting during sports period,Principal Ishika Shetty,Counseling,True,True,True,True
BEH_INST_002_000050,STU_INST_002_0048,2025-04-20,Fighting,Severe,Student involved in fighting during sports period,Class Teacher Sneha Pillai,Written Warning,False,True,True,True
BEH_INST_002_000051,STU_INST_002_0049,2025-04-24,Late Coming,Minor,Student involved in late coming during break time,Class Teacher Shreya Suthar,Written Warning,True,True,False,False
BEH_INST_002_000052,STU_INST_002_0050,2025-05-17,Bullying,Major,Student involved in bullying during break time,Principal Ishika Trivedi,Parent Meeting,True,True,False,False
BEH_INST_002_000053,STU_INST_002_0051,2025-07-19,Disrespect to Teacher,Minor,Student involved in disrespect to teacher during class hours,Class Teacher Sana Pawar,Verbal Warning,False,False,False,False
BEH_INST_002_000054,STU_INST_002_0051,2025-08-20,Verbal Abuse,Minor,Student involved in verbal abuse during class hours,Subject Teacher Meera Mondal,Written Warning,True,False,True,True
BEH_INST_002_000055,STU_INST_002_0051,2025-04-02,Incomplete Homework,Major,Student involved in incomplete homework during class hours,Class Teacher Rohan Ganguly,Verbal Warning,False,True,False,False
BEH_INST_002_000056,STU_INST_002_0052,2025-08-06,Cheating in Exam,Minor,Student involved in cheating in exam during sports period,Discipline Incharge Anika Kapoor,Suspension,False,False,False,False
BEH_INST_002_000057,STU_INST_002_0053,2025-05-25,Mobile Phone Usage,Severe,Student involved in mobile phone usage during break time,Discipline Incharge Vikram Gowda,Apology Letter,True,True,True,False
BEH_INST_002_000058,STU_INST_002_0053,2025-05-05,Bullying,Major,Student involved in bullying during break time,Principal Swati Khanna,Verbal Warning,True,False,False,False
BEH_INST_002_000059,STU_INST_002_0053,2025-05-12,Bullying,Severe,Student involved in bullying during class hours,Subject Teacher Sai Shah,Parent Meeting,False,False,True,False
BEH_INST_002_000060,STU_INST_002_0054,2025-03-12,Bullying,Severe,Student involved in bullying during break time,Principal Swati Gowda,Parent Meeting,True,True,False,False
BEH_INST_002_000061,STU_INST_002_0055,2025-07-06,Uniform Violation,Minor,Student involved in uniform violation during sports period,Subject Teacher Isha Biswas,Counseling,False,False,True,False
BEH_INST_002_000062,STU_INST_002_0057,2025-06-07,Bunking Classes,Moderate,Student involved in bunking classes during class hours,Principal Kriti Bose,Parent Meeting,False,True,False,False
BEH_INST_002_000063,STU_INST_002_0058,2025-04-05,Bunking Classes,Major,Student involved in bunking classes during assembly,Principal Kavya Dubey,Suspension,True,False,False,False
BEH_INST_002_000064,STU_INST_002_0058,2025-08-27,Late Coming,Minor,Student involved in late coming during class hours,Class Teacher Aarohi Sen,Verbal Warning,True,True,False,False
BEH_INST_002_000065,STU_INST_002_0061,2025-02-28,Mobile Phone Usage,Severe,Student involved in mobile phone usage during class hours,Discipline Incharge Arjun Suthar,Community Service,True,False,True,False
BEH_INST_002_000066,STU_INST_002_0061,2025-08-23,Uniform Violation,Minor,Student involved in uniform violation during break time,Principal Deepika Arora,Behavior Contract,True,True,False,False
BEH_INST_002_000067,STU_INST_002_0064,2025-04-11,Cheating in Exam,Severe,Student involved in cheating in exam during assembly,Discipline Incharge Isha Iyer,Apology Letter,False,True,False,False
BEH_INST_002_000068,STU_INST_002_0064,2025-09-12,Fighting,Moderate,Student involved in fighting during break time,Class Teacher Khushi Shinde,Written Warning,False,True,True,False
BEH_INST_002_000069,STU_INST_002_0065,2025-04-01,Incomplete Homework,Severe,Student involved in incomplete homework during assembly,Discipline Incharge Deepika Bhat,Behavior Contract,False,False,False,False
BEH_INST_002_000070,STU_INST_002_0065,2025-07-19,Bullying,Minor,Student involved in bullying during break time,Discipline Incharge Shreya Kapoor,Verbal Warning,True,False,True,True
BEH_INST_002_000071,STU_INST_002_0066,2025-04-04,Late Coming,Minor,Student involved in late coming during break time,Subject Teacher Myra Khanna,Behavior Contract,True,True,True,False
BEH_INST_002_000072,STU_INST_002_0068,2025-07-20,Damage to Property,Major,Student involved in damage to property during assembly,Class Teacher Swati Goel,Suspension,True,True,True,False
BEH_INST_002_000073,STU_INST_002_0068,2025-07-30,Mobile Phone Usage,Moderate,Student involved in mobile phone usage during class hours,Principal Sanjay Mathur,Parent Meeting,True,False,False,False
BEH_INST_002_000074,STU_INST_002_0068,2025-07-27,Verbal Abuse,Minor,Student involved in verbal abuse during break time,Subject Teacher Rudra Shinde,Suspension,False,True,True,False
BEH_INST_002_000075,STU_INST_002_0070,2025-04-06,Mobile Phone Usage,Moderate,Student involved in mobile phone usage during sports period,Principal Avni Gowda,Behavior Contract,False,False,False,False
BEH_INST_002_000076,STU_INST_002_0071,2025-08-17,Mobile Phone Usage,Minor,Student involved in mobile phone usage during assembly,Class Teacher Navya Sen,Suspension,False,True,False,False
BEH_INST_002_000077,STU_INST_002_0072,2025-03-25,Verbal Abuse,Major,Student involved in verbal abuse during break time,Principal Priya Kumar,Written Warning,True,False,False,False
BEH_INST_002_000078,STU_INST_002_0075,2025-07-07,Uniform Violation,Minor,Student involved in uniform violation during sports period,Principal Anjali Desai,Verbal Warning,True,False,True,False
BEH_INST_002_000079,STU_INST_002_0075,2025-04-03,Damage to Property,Major,Student involved in damage to property during class hours,Class Teacher Anil Mehta,Suspension,True,True,True,False
BEH_INST_002_000080,STU_INST_002_0075,2025-05-05,Damage to Property,Moderate,Student involved in damage to property during sports period,Discipline Incharge Samar Agarwal,Parent Meeting,False,False,True,False
BEH_INST_002_000081,STU_INST_002_0076,2025-06-22,Disrespect to Teacher,Major,Student involved in disrespect to teacher during break time,Principal Abhishek Agarwal,Verbal Warning,True,True,True,False
BEH_INST_002_000082,STU_INST_002_0076,2025-05-16,Late Coming,Minor,Student involved in late coming during assembly,Principal Sara Aggarwal,Written Warning,False,False,False,False
BEH_INST_002_000083,STU_INST_002_0077,2025-05-16,Damage to Property,Moderate,Student involved in damage to property during break time,Class Teacher Anjali Iyer,Community Service,True,True,True,False
BEH_INST_002_000084,STU_INST_002_0077,2025-07-29,Uniform Violation,Minor,Student involved in uniform violation during sports period,Principal Seema Mittal,Written Warning,True,True,True,False
BEH_INST_002_000085,STU_INST_002_0078,2025-08-04,Fighting,Severe,Student involved in fighting during assembly,Principal Karan Kamath,Verbal Warning,False,True,False,False
BEH_INST_002_000086,STU_INST_002_0078,2025-04-05,Uniform Violation,Major,Student involved in uniform violation during class hours,Principal Diya Sen,Community Service,True,True,True,False
BEH_INST_002_000087,STU_INST_002_0078,2025-06-28,Mobile Phone Usage,Major,Student involved in mobile phone usage during break time,Class Teacher Arnav Tiwari,Community Service,False,True,False,False
BEH_INST_002_000088,STU_INST_002_0078,2025-08-10,Classroom Disruption,Major,Student involved in classroom disruption during sports period,Subject Teacher Anjali Goel,Counseling,False,False,True,False
BEH_INST_002_000089,STU_INST_002_0079,2025-09-04,Verbal Abuse,Severe,Student involved in verbal abuse during break time,Subject Teacher Sapna Srivastava,Apology Letter,True,True,False,False
BEH_INST_002_000090,STU_INST_002_0079,2025-03-24,Mobile Phone Usage,Major,Student involved in mobile phone usage during sports period,Principal Ishika Bhattacharya,Behavior Contract,False,True,True,False
BEH_INST_002_000091,STU_INST_002_0079,2025-06-02,Incomplete Homework,Minor,Student involved in incomplete homework during break time,Subject Teacher Raj Mandal,Verbal Warning,False,False,True,False
BEH_INST_002_000092,STU_INST_002_0080,2025-06-25,Bullying,Major,Student involved in bullying during class hours,Principal Aditya Biswas,After School Detention,True,True,True,False
BEH_INST_002_000093,STU_INST_002_0081,2025-04-06,Bullying,Severe,Student involved in bullying during assembly,Class Teacher Karan Pal,Behavior Contract,True,False,True,True
BEH_INST_002_000094,STU_INST_002_0081,2025-09-03,Uniform Violation,Minor,Student involved in uniform violation during break time,Subject Teacher Amit Biswas,After School Detention,True,False,False,False
BEH_INST_002_000095,STU_INST_002_0082,2025-07-25,Incomplete Homework,Major,Student involved in incomplete homework during class hours,Subject Teacher Diya Gowda,Suspension,False,True,False,False
BEH_INST_002_000096,STU_INST_002_0082,2025-04-18,Disrespect to Teacher,Minor,Student involved in disrespect to teacher during class hours,Discipline Incharge Samar Agarwal,Written Warning,True,False,False,False
BEH_INST_002_000097,STU_INST_002_0082,2025-05-25,Incomplete Homework,Moderate,Student involved in incomplete homework during assembly,Principal Advait Jindal,Written Warning,True,False,True,False
BEH_INST_002_000098,STU_INST_002_0083,2025-03-04,Late Coming,Moderate,Student involved in late coming during class hours,Class Teacher Ankit Shetty,Behavior Contract,True,False,True,False
BEH_INST_002_000099,STU_INST_002_0083,2025-03-19,Fighting,Minor,Student involved in fighting during sports period,Principal Aadhya Joshi,After School Detention,True,True,False,False
BEH_INST_002_000100,STU_INST_002_0084,2025-08-08,Damage to Property,Severe,Student involved in damage to property during sports period,Discipline Incharge Zara Mehta,Apology Letter,True,True,False,False
BEH_INST_002_000101,STU_INST_002_0084,2025-07-14,Verbal Abuse,Major,Student involved in verbal abuse during break time,Subject Teacher Diya Saha,Suspension,False,False,False,False
BEH_INST_002_000102,STU_INST_002_0085,2025-08-17,Uniform Violation,Moderate,Student involved in uniform violation during assembly,Subject Teacher Abhishek Trivedi,Parent Meeting,False,False,False,False
BEH_INST_002_000103,STU_INST_002_0087,2025-04-03,Damage to Property,Major,Student involved in damage to property during break time,Principal Deepak Bose,Suspension,True,True,True,False
BEH_INST_002_000104,STU_INST_002_0087,2025-05-02,Bunking Classes,Severe,Student involved in bunking classes during sports period,Class Teacher Rashmi Jain,Behavior Contract,True,False,False,False
BEH_INST_002_000105,STU_INST_002_0087,2025-04-16,Late Coming,Moderate,Student involved in late coming during break time,Discipline Incharge Deepak Verma,Apology Letter,True,False,False,False
BEH_INST_002_000106,STU_INST_002_0088,2025-03-17,Damage to Property,Major,Student involved in damage to property during class hours,Discipline Incharge Ashish Aggarwal,Community Service,True,True,True,False
BEH_INST_002_000107,STU_INST_002_0091,2025-08-31,Bullying,Moderate,Student involved in bullying during assembly,Subject Teacher Zara Sharma,Verbal Warning,False,False,True,True
BEH_INST_002_000108,STU_INST_002_0091,2025-07-26,Fighting,Major,Student involved in fighting during assembly,Discipline Incharge Kriti Dave,Community Service,False,False,True,True
BEH_INST_002_000109,STU_INST_002_0092,2025-06-03,Verbal Abuse,Major,Student involved in verbal abuse during class hours,Class Teacher Amit Jindal,Suspension,False,False,False,False
BEH_INST_002_000110,STU_INST_002_0093,2025-03-30,Cheating in Exam,Severe,Student involved in cheating in exam during class hours,Subject Teacher Karan Patil,Written Warning,True,True,True,False
BEH_INST_002_000111,STU_INST_002_0095,2025-06-18,Bunking Classes,Moderate,Student involved in bunking classes during assembly,Principal Navya Ganguly,Suspension,False,True,True,False
BEH_INST_002_000112,STU_INST_002_0096,2025-07-12,Fighting,Moderate,Student involved in fighting during sports period,Principal Riyansh Panchal,Parent Meeting,True,True,True,True
BEH_INST_002_000113,STU_INST_002_0098,2025-08-03,Bunking Classes,Major,Student involved in bunking classes during class hours,Discipline Incharge Shaurya Desai,Written Warning,True,False,True,False
BEH_INST_002_000114,STU_INST_002_0098,2025-08-05,Damage to Property,Severe,Student involved in damage to property during class hours,Principal Yogesh Deshpande,Suspension,True,False,True,False
BEH_INST_002_000115,STU_INST_002_0100,2025-05-11,Classroom Disruption,Major,Student involved in classroom disruption during break time,Subject Teacher Vinod Sharma,Suspension,True,True,True,False
BEH_INST_002_000116,STU_INST_002_0101,2025-04-11,Bunking Classes,Minor,Student involved in bunking classes during sports period,Principal Sneha Verma,Community Service,False,False,False,False
BEH_INST_002_000117,STU_INST_002_0101,2025-05-23,Uniform Violation,Major,Student involved in uniform violation during assembly,Principal Ishaan Menon,After School Detention,False,False,True,False
BEH_INST_002_000118,STU_INST_002_0101,2025-05-28,Classroom Disruption,Minor,Student involved in classroom disruption during sports period,Discipline Incharge Shreya Shah,Written Warning,True,True,False,False
BEH_INST_002_000119,STU_INST_002_0102,2025-08-05,Verbal Abuse,Moderate,Student involved in verbal abuse during assembly,Class Teacher Ravi Bansal,After School Detention,True,False,False,True
BEH_INST_002_000120,STU_INST_002_0102,2025-03-01,Mobile Phone Usage,Minor,Student involved in mobile phone usage during class hours,Class Teacher Kabir Pandey,Verbal Warning,True,True,True,False
BEH_INST_002_000121,STU_INST_002_0102,2025-06-25,Classroom Disruption,Severe,Student involved in classroom disruption during assembly,Discipline Incharge Aditi Suthar,Counseling,True,True,False,False
BEH_INST_002_000122,STU_INST_002_0102,2025-06-29,Classroom Disruption,Major,Student involved in classroom disruption during sports period,Subject Teacher Deepak Venkatesh,Parent Meeting,True,False,False,False
BEH_INST_002_000123,STU_INST_002_0103,2025-08-07,Disrespect to Teacher,Moderate,Student involved in disrespect to teacher during sports period,Class Teacher Shalini Hegde,Counseling,True,True,True,False
BEH_INST_002_000124,STU_INST_002_0103,2025-05-20,Cheating in Exam,Severe,Student involved in cheating in exam during break time,Class Teacher Rahul Reddy,After School Detention,True,False,True,False
BEH_INST_002_000125,STU_INST_002_0105,2025-05-26,Fighting,Moderate,Student involved in fighting during assembly,Subject Teacher Anika Saxena,Written Warning,True,False,True,False
BEH_INST_002_000126,STU_INST_002_0106,2025-05-21,Incomplete Homework,Minor,Student involved in incomplete homework during sports period,Subject Teacher Rahul Chakraborty,Community Service,True,True,False,False
BEH_INST_002_000127,STU_INST_002_0107,2025-08-30,Uniform Violation,Severe,Student involved in uniform violation during sports period,Class Teacher Shalini Kapoor,Community Service,False,False,False,False
BEH_INST_002_000128,STU_INST_002_0107,2025-06-20,Fighting,Severe,Student involved in fighting during break time,Principal Pooja Vyas,Behavior Contract,True,False,True,False
BEH_INST_002_000129,STU_INST_002_0107,2025-04-15,Bullying,Moderate,Student involved in bullying during class hours,Subject Teacher Ishika Panchal,Suspension,True,True,True,True
BEH_INST_002_000130,STU_INST_002_0108,2025-06-17,Mobile Phone Usage,Severe,Student involved in mobile phone usage during assembly,Discipline Incharge Ashish Jindal,Written Warning,True,False,False,False
BEH_INST_002_000131,STU_INST_002_0109,2025-08-21,Incomplete Homework,Moderate,Student involved in incomplete homework during sports period,Principal Sara Chakraborty,Behavior Contract,False,True,False,False
BEH_INST_002_000132,STU_INST_002_0112,2025-07-13,Verbal Abuse,Severe,Student involved in verbal abuse during assembly,Discipline Incharge Karan Chowdhury,Apology Letter,True,False,False,False
BEH_INST_002_000133,STU_INST_002_0112,2025-05-17,Bullying,Minor,Student involved in bullying during class hours,Subject Teacher Yogesh Parikh,Suspension,False,False,False,True
BEH_INST_002_000134,STU_INST_002_0113,2025-03-15,Mobile Phone Usage,Minor,Student involved in mobile phone usage during assembly,Principal Akash Subramanian,Written Warning,False,False,True,False
BEH_INST_002_000135,STU_INST_002_0113,2025-03-31,Cheating in Exam,Severe,Student involved in cheating in exam during class hours,Subject Teacher Kiara Tiwari,Parent Meeting,True,False,True,False
BEH_INST_002_000136,STU_INST_002_0113,2025-06-09,Disrespect to Teacher,Severe,Student involved in disrespect to teacher during sports period,Class Teacher Anika Kulkarni,Suspension,False,False,True,False
BEH_INST_002_000137,STU_INST_002_0114,2025-06-21,Fighting,Minor,Student involved in fighting during class hours,Class Teacher Preeti Reddy,Parent Meeting,False,True,True,True
BEH_INST_002_000138,STU_INST_002_0115,2025-07-30,Verbal Abuse,Severe,Student involved in verbal abuse during class hours,Principal Maya Gowda,After School Detention,True,False,True,False
BEH_INST_002_000139,STU_INST_002_0115,2025-09-03,Classroom Disruption,Major,Student involved in classroom disruption during class hours,Principal Ravi Shah,Suspension,False,False,False,False
BEH_INST_002_000140,STU_INST_002_0115,2025-08-24,Bullying,Minor,Student involved in bullying during break time,Subject Teacher Priya Mitra,Counseling,False,False,False,False
BEH_INST_002_000141,STU_INST_002_0116,2025-04-04,Cheating in Exam,Minor,Student involved in cheating in exam during sports period,Subject Teacher Vikram Kale,Written Warning,True,True,True,False
BEH_INST_002_000142,STU_INST_002_0117,2025-07-21,Bullying,Severe,Student involved in bullying during sports period,Principal Sanjay Verma,Apology Letter,True,False,True,False
BEH_INST_002_000143,STU_INST_002_0118,2025-08-29,Uniform Violation,Severe,Student involved in uniform violation during class hours,Subject Teacher Shaurya Mandal,Community Service,False,True,True,False
BEH_INST_002_000144,STU_INST_002_0118,2025-05-02,Cheating in Exam,Moderate,Student involved in cheating in exam during assembly,Discipline Incharge Harsh Goel,Suspension,True,True,True,False
BEH_INST_002_000145,STU_INST_002_0118,2025-04-08,Uniform Violation,Severe,Student involved in uniform violation during assembly,Subject Teacher Raj Deshpande,Behavior Contract,False,False,True,False
BEH_INST_002_000146,STU_INST_002_0118,2025-03-24,Damage to Property,Moderate,Student involved in damage to property during break time,Discipline Incharge Shaurya Sethi,After School Detention,False,False,True,False
BEH_INST_002_000147,STU_INST_002_0121,2025-08-27,Disrespect to Teacher,Moderate,Student involved in disrespect to teacher during break time,Principal Sneha Arora,Written Warning,False,True,True,False
BEH_INST_002_000148,STU_INST_002_0121,2025-03-28,Damage to Property,Major,Student involved in damage to property during class hours,Class Teacher Sana Kulkarni,After School Detention,False,False,True,False
BEH_INST_002_000149,STU_INST_002_0121,2025-08-23,Damage to Property,Major,Student involved in damage to property during break time,Principal Harsh Chopra,Community Service,True,True,True,False
BEH_INST_002_000150,STU_INST_002_0121,2025-03-03,Fighting,Minor,Student involved in fighting during assembly,Discipline Incharge Dev Bhat,Apology Letter,True,True,False,False
BEH_INST_002_000151,STU_INST_002_0122,2025-07-07,Incomplete Homework,Major,Student involved in incomplete homework during sports period,Principal Isha Khanna,Parent Meeting,False,True,False,False
BEH_INST_002_000152,STU_INST_002_0122,2025-05-08,Incomplete Homework,Moderate,Student involved in incomplete homework during assembly,Discipline Incharge Priya Pandey,Written Warning,False,True,True,False
BEH_INST_002_000153,STU_INST_002_0123,2025-07-01,Cheating in Exam,Severe,Student involved in cheating in exam during break time,Subject Teacher Karan Roy,Written Warning,True,False,False,False
BEH_INST_002_000154,STU_INST_002_0124,2025-08-21,Incomplete Homework,Moderate,Student involved in incomplete homework during break time,Class Teacher Riya Singh,Community Service,True,False,False,False
BEH_INST_002_000155,STU_INST_002_0124,2025-06-20,Late Coming,Major,Student involved in late coming during class hours,Subject Teacher Varun Roy,Written Warning,True,True,True,False
BEH_INST_002_000156,STU_INST_002_0125,2025-06-20,Classroom Disruption,Minor,Student involved in classroom disruption during class hours,Class Teacher Shweta Bhatt,Suspension,False,True,False,False
BEH_INST_002_000157,STU_INST_002_0126,2025-06-29,Classroom Disruption,Major,Student involved in classroom disruption during sports period,Subject Teacher Raj Singh,After School Detention,False,False,False,False
BEH_INST_002_000158,STU_INST_002_0126,2025-03-02,Damage to Property,Major,Student involved in damage to property during sports period,Subject Teacher Riyansh Ghosh,Community Service,True,False,True,False
BEH_INST_002_000159,STU_INST_002_0128,2025-05-18,Mobile Phone Usage,Major,Student involved in mobile phone usage during sports period,Principal Maya Thakkar,Apology Letter,True,False,False,False
BEH_INST_002_000160,STU_INST_002_0128,2025-05-15,Mobile Phone Usage,Severe,Student involved in mobile phone usage during break time,Class Teacher Sana Iyer,Apology Letter,True,True,True,False
BEH_INST_002_000161,STU_INST_002_0128,2025-08-05,Cheating in Exam,Severe,Student involved in cheating in exam during sports period,Discipline Incharge Rekha Singhal,Suspension,False,True,False,False
