assessment_id,student_id,subject,assessment_type,date,max_marks,obtained_marks,percentage,grade,term,remarks
ASS_INST_001_000155,STU_INST_001_0010,Accountancy,Viva Voce,2025-07-22,100,74,74.8,B1,Final Term,Very Good
ASS_INST_001_000156,STU_INST_001_0010,Economics,Half Yearly Exam,2025-06-03,20,14,70.3,B1,Final Term,Very Good
ASS_INST_001_000157,STU_INST_001_0010,Chemistry,Monthly Test,2025-06-17,100,96,96.2,A1,Second Term,Outstanding
ASS_INST_001_000158,STU_INST_001_0010,Economics,Viva Voce,2025-05-28,50,38,76.3,B1,First Term,Very Good
ASS_INST_001_000159,STU_INST_001_0010,Hindi,Internal Assessment,2025-08-13,80,65,81.9,A2,Final Term,Excellent
ASS_INST_001_000160,STU_INST_001_0010,Sanskrit,Monthly Test,2025-07-26,25,17,68.4,B2,First Term,Good
ASS_INST_001_000161,STU_INST_001_0011,English,Final Exam,2025-08-15,50,31,63.9,B2,Second Term,Good
ASS_INST_001_000162,STU_INST_001_0011,Physics,Viva Voce,2025-07-28,50,31,62.6,B2,Final Term,Good
ASS_INST_001_000163,STU_INST_001_0011,English,Internal Assessment,2025-08-30,100,28,29.0,D,First Term,Needs Improvement
ASS_INST_001_000164,STU_INST_001_0011,Computer Science,Quiz,2025-07-04,25,14,58.1,C1,First Term,Satisfactory
ASS_INST_001_000165,STU_INST_001_0011,Computer Science,Unit Test,2025-07-11,20,14,73.8,B1,Final Term,Very Good
ASS_INST_001_000166,STU_INST_001_0011,Accountancy,Internal Assessment,2025-08-29,100,70,70.2,B1,Final Term,Very Good
ASS_INST_001_000167,STU_INST_001_0011,Hindi,Project Work,2025-07-13,25,13,53.0,C1,Final Term,Satisfactory
ASS_INST_001_000168,STU_INST_001_0011,Chemistry,Viva Voce,2025-09-15,25,14,58.3,C1,Second Term,Satisfactory
ASS_INST_001_000169,STU_INST_001_0011,Physics,Viva Voce,2025-07-24,25,17,69.0,B2,Second Term,Good
ASS_INST_001_000170,STU_INST_001_0011,Biology,Viva Voce,2025-06-24,80,25,32.0,D,Second Term,Needs Improvement
ASS_INST_001_000171,STU_INST_001_0011,Sanskrit,Practical Exam,2025-06-20,100,61,61.0,B2,Final Term,Good
ASS_INST_001_000172,STU_INST_001_0011,Biology,Viva Voce,2025-06-09,100,17,17.0,D,Second Term,Needs Improvement
ASS_INST_001_000173,STU_INST_001_0011,Physics,Final Exam,2025-07-26,20,13,68.0,B2,First Term,Good
ASS_INST_001_000174,STU_INST_001_0011,Social Studies,Half Yearly Exam,2025-06-14,20,9,45.6,C2,First Term,Needs Improvement
ASS_INST_001_000175,STU_INST_001_0012,Physics,Unit Test,2025-07-30,20,12,63.3,B2,Second Term,Good
ASS_INST_001_000176,STU_INST_001_0012,Economics,Internal Assessment,2025-06-26,20,10,54.9,C1,Second Term,Satisfactory
ASS_INST_001_000177,STU_INST_001_0012,Accountancy,Viva Voce,2025-06-06,80,51,64.1,B2,First Term,Good
ASS_INST_001_000178,STU_INST_001_0012,Sanskrit,Assignment,2025-08-08,25,17,69.5,B2,Second Term,Good
ASS_INST_001_000179,STU_INST_001_0012,Economics,Monthly Test,2025-05-27,100,78,78.5,B1,First Term,Very Good
ASS_INST_001_000180,STU_INST_001_0012,Sanskrit,Monthly Test,2025-06-12,25,22,88.3,A2,First Term,Excellent
ASS_INST_001_000181,STU_INST_001_0012,English,Half Yearly Exam,2025-09-02,80,52,65.7,B2,Final Term,Good
ASS_INST_001_000182,STU_INST_001_0012,Sanskrit,Monthly Test,2025-08-16,100,34,35.0,D,First Term,Needs Improvement
ASS_INST_001_000183,STU_INST_001_0012,Computer Science,Assignment,2025-07-25,25,22,88.4,A2,First Term,Excellent
ASS_INST_001_000184,STU_INST_001_0012,English,Project Work,2025-08-16,100,38,38.4,D,First Term,Needs Improvement
ASS_INST_001_000185,STU_INST_001_0012,Science,Half Yearly Exam,2025-06-04,25,14,57.3,C1,Second Term,Satisfactory
ASS_INST_001_000186,STU_INST_001_0012,Accountancy,Assignment,2025-05-20,50,28,56.0,C1,Second Term,Satisfactory
ASS_INST_001_000187,STU_INST_001_0012,Sanskrit,Assignment,2025-08-20,25,16,65.1,B2,Final Term,Good
ASS_INST_001_000188,STU_INST_001_0013,English,Viva Voce,2025-06-30,80,31,39.7,D,Final Term,Needs Improvement
ASS_INST_001_000189,STU_INST_001_0013,Biology,Quiz,2025-05-29,80,31,38.8,D,First Term,Needs Improvement
ASS_INST_001_000190,STU_INST_001_0013,Computer Science,Final Exam,2025-05-26,50,31,62.1,B2,Second Term,Good
ASS_INST_001_000191,STU_INST_001_0013,Physics,Assignment,2025-06-12,20,9,48.1,C2,Final Term,Needs Improvement
ASS_INST_001_000192,STU_INST_001_0013,Computer Science,Assignment,2025-08-09,25,21,86.7,A2,Final Term,Excellent
ASS_INST_001_000193,STU_INST_001_0013,Sanskrit,Viva Voce,2025-08-24,20,10,52.5,C1,Final Term,Satisfactory
ASS_INST_001_000194,STU_INST_001_0013,Mathematics,Half Yearly Exam,2025-05-31,80,35,43.9,C2,Final Term,Needs Improvement
ASS_INST_001_000195,STU_INST_001_0013,Accountancy,Viva Voce,2025-07-25,100,92,92.5,A1,Second Term,Outstanding
ASS_INST_001_000196,STU_INST_001_0013,Computer Science,Viva Voce,2025-07-06,100,70,70.9,B1,Second Term,Very Good
ASS_INST_001_000197,STU_INST_001_0013,Biology,Internal Assessment,2025-06-29,25,25,100.0,A1,First Term,Outstanding
ASS_INST_001_000198,STU_INST_001_0013,Accountancy,Internal Assessment,2025-08-30,25,6,27.8,D,First Term,Needs Improvement
ASS_INST_001_000199,STU_INST_001_0013,English,Project Work,2025-07-20,80,52,66.2,B2,Second Term,Good
ASS_INST_001_000200,STU_INST_001_0013,Hindi,Viva Voce,2025-07-17,20,14,71.2,B1,Final Term,Very Good
ASS_INST_001_000201,STU_INST_001_0013,Sanskrit,Quiz,2025-05-20,20,12,62.9,B2,First Term,Good
ASS_INST_001_000202,STU_INST_001_0013,Chemistry,Quiz,2025-06-16,80,44,55.9,C1,Second Term,Satisfactory
ASS_INST_001_000203,STU_INST_001_0014,Hindi,Quiz,2025-07-04,25,14,57.1,C1,Final Term,Satisfactory
ASS_INST_001_000204,STU_INST_001_0014,English,Unit Test,2025-05-24,100,43,43.1,C2,First Term,Needs Improvement
ASS_INST_001_000205,STU_INST_001_0014,English,Viva Voce,2025-07-11,80,3,4.3,D,First Term,Needs Improvement
ASS_INST_001_000206,STU_INST_001_0014,Hindi,Practical Exam,2025-08-02,80,15,19.0,D,Second Term,Needs Improvement
ASS_INST_001_000207,STU_INST_001_0014,Science,Practical Exam,2025-07-26,50,6,13.7,D,Final Term,Needs Improvement
ASS_INST_001_000208,STU_INST_001_0014,Chemistry,Project Work,2025-05-22,80,26,32.5,D,First Term,Needs Improvement
ASS_INST_001_000209,STU_INST_001_0014,Mathematics,Half Yearly Exam,2025-06-05,25,12,51.8,C1,First Term,Satisfactory
ASS_INST_001_000210,STU_INST_001_0014,Economics,Final Exam,2025-06-19,100,27,27.9,D,First Term,Needs Improvement
ASS_INST_001_000211,STU_INST_001_0014,Mathematics,Internal Assessment,2025-07-12,20,6,30.1,D,Second Term,Needs Improvement
ASS_INST_001_000212,STU_INST_001_0014,Mathematics,Assignment,2025-05-25,25,4,17.1,D,Second Term,Needs Improvement
ASS_INST_001_000213,STU_INST_001_0014,Computer Science,Practical Exam,2025-08-07,20,9,48.4,C2,Second Term,Needs Improvement
ASS_INST_001_000214,STU_INST_001_0014,Economics,Monthly Test,2025-05-22,100,56,56.9,C1,First Term,Satisfactory
ASS_INST_001_000215,STU_INST_001_0014,Hindi,Project Work,2025-07-18,50,17,34.1,D,First Term,Needs Improvement
ASS_INST_001_000216,STU_INST_001_0015,English,Internal Assessment,2025-06-10,80,74,92.8,A1,Second Term,Outstanding
ASS_INST_001_000217,STU_INST_001_0015,Mathematics,Final Exam,2025-07-18,50,27,54.5,C1,First Term,Satisfactory
ASS_INST_001_000218,STU_INST_001_0015,Biology,Final Exam,2025-08-29,80,31,39.2,D,Second Term,Needs Improvement
ASS_INST_001_000219,STU_INST_001_0015,Social Studies,Half Yearly Exam,2025-08-18,50,39,78.8,B1,Final Term,Very Good
