fee_id,student_id,fee_type,academic_year,quarter,due_date,amount_due,amount_paid,balance,payment_status,last_payment_date,payment_method,late_fee
FEE_INST_001_000034,STU_INST_001_0007,Lab Fee,2024-25,Q4,2025-11-04,3449,0,3449,Pending,,,390
FEE_INST_001_000035,STU_INST_001_0007,Sports Fee,2024-25,Q4,2025-10-15,5832,0,5832,Pending,,,0
FEE_INST_001_000036,STU_INST_001_0007,Transport Fee,2024-25,Q1,2025-08-06,13990,0,13990,Pending,,,427
FEE_INST_001_000037,STU_INST_001_0007,Development Fee,2024-25,Q3,2025-09-08,6487,0,6487,Pending,,,287
FEE_INST_001_000038,STU_INST_001_0008,Development Fee,2024-25,Q3,2025-11-06,7139,3569,3570,Partial,2025-08-16,UPI,0
FEE_INST_001_000039,STU_INST_001_0008,Library Fee,2024-25,Q1,2025-10-03,2931,1465,1466,Partial,2025-06-17,Online Banking,0
FEE_INST_001_000040,STU_INST_001_0008,Admission Fee,2024-25,Q3,2025-09-15,12695,6347,6348,Partial,2025-07-01,Online Banking,0
FEE_INST_001_000041,STU_INST_001_0008,Sports Fee,2024-25,Q3,2025-08-17,4179,2089,2090,Partial,2025-06-05,DD,0
FEE_INST_001_000042,STU_INST_001_0008,Lab Fee,2024-25,Q1,2025-08-31,4709,2354,2355,Partial,2025-07-05,UPI,0
FEE_INST_001_000043,STU_INST_001_0008,Annual Function Fee,2024-25,Q4,2025-11-27,2729,1364,1365,Partial,2025-05-23,Online Banking,0
FEE_INST_001_000044,STU_INST_001_0009,Exam Fee,2024-25,Q4,2025-08-25,3802,1901,1901,Partial,2025-08-24,Card Payment,0
FEE_INST_001_000045,STU_INST_001_0009,Library Fee,2024-25,Q3,2025-09-11,3763,1881,1882,Partial,2025-06-05,Cheque,0
FEE_INST_001_000046,STU_INST_001_0009,Computer Fee,2024-25,Q2,2025-11-11,3985,1992,1993,Partial,2025-08-25,Cash,0
FEE_INST_001_000047,STU_INST_001_0009,Development Fee,2024-25,Q3,2025-10-21,7380,3690,3690,Partial,2025-08-20,Online Banking,0
FEE_INST_001_000048,STU_INST_001_0010,Lab Fee,2024-25,Q3,2025-09-13,7498,0,7498,Pending,,,444
FEE_INST_001_000049,STU_INST_001_0010,Tuition Fee,2024-25,Q4,2025-11-08,36800,0,36800,Pending,,,0
FEE_INST_001_000050,STU_INST_001_0010,Exam Fee,2024-25,Q3,2025-10-23,5265,0,5265,Pending,,,0
FEE_INST_001_000051,STU_INST_001_0010,Admission Fee,2024-25,Q3,2025-09-17,7669,0,7669,Pending,,,0
FEE_INST_001_000052,STU_INST_001_0010,Transport Fee,2024-25,Q3,2025-11-02,10417,0,10417,Pending,,,0
FEE_INST_001_000053,STU_INST_001_0011,Tuition Fee,2024-25,Q3,2025-09-23,22318,0,22318,Pending,,,0
FEE_INST_001_000054,STU_INST_001_0011,Lab Fee,2024-25,Q4,2025-10-01,7811,0,7811,Pending,,,0
FEE_INST_001_000055,STU_INST_001_0011,Exam Fee,2024-25,Q3,2025-08-17,7586,0,7586,Pending,,,0
FEE_INST_001_000056,STU_INST_001_0011,Development Fee,2024-25,Q1,2025-09-09,7820,0,7820,Pending,,,0
FEE_INST_001_000057,STU_INST_001_0011,Computer Fee,2024-25,Q3,2025-09-12,4824,0,4824,Pending,,,127
FEE_INST_001_000058,STU_INST_001_0011,Sports Fee,2024-25,Q3,2025-08-10,6996,0,6996,Pending,,,0
FEE_INST_001_000059,STU_INST_001_0012,Library Fee,2024-25,Q3,2025-12-14,2258,2258,0,Paid,2025-06-26,Card Payment,0
FEE_INST_001_000060,STU_INST_001_0012,Development Fee,2024-25,Q3,2025-09-14,7713,7713,0,Paid,2025-05-25,UPI,0
FEE_INST_001_000061,STU_INST_001_0012,Annual Function Fee,2024-25,Q1,2025-09-19,4506,4506,0,Paid,2025-08-17,Online Banking,0
FEE_INST_001_000062,STU_INST_001_0012,Exam Fee,2024-25,Q4,2025-09-30,6855,6855,0,Paid,2025-06-15,UPI,0
FEE_INST_001_000063,STU_INST_001_0012,Computer Fee,2024-25,Q3,2025-12-14,6788,6788,0,Paid,2025-08-11,Card Payment,0
FEE_INST_001_000064,STU_INST_001_0012,Sports Fee,2024-25,Q1,2025-09-07,3596,3596,0,Paid,2025-07-14,Online Banking,0
FEE_INST_001_000065,STU_INST_001_0013,Exam Fee,2024-25,Q1,2025-08-21,5805,0,5805,Pending,,,0
FEE_INST_001_000066,STU_INST_001_0013,Development Fee,2024-25,Q4,2025-12-07,4351,0,4351,Pending,,,453
FEE_INST_001_000067,STU_INST_001_0013,Transport Fee,2024-25,Q3,2025-08-21,9360,0,9360,Pending,,,259
FEE_INST_001_000068,STU_INST_001_0013,Lab Fee,2024-25,Q1,2025-10-02,3887,0,3887,Pending,,,178
FEE_INST_001_000069,STU_INST_001_0014,Exam Fee,2024-25,Q1,2025-09-27,3629,0,3629,Pending,,,168
FEE_INST_001_000070,STU_INST_001_0014,Lab Fee,2024-25,Q2,2025-11-09,2218,0,2218,Pending,,,401
FEE_INST_001_000071,STU_INST_001_0014,Activity Fee,2024-25,Q4,2025-10-27,5717,0,5717,Pending,,,288
FEE_INST_001_000072,STU_INST_001_0014,Sports Fee,2024-25,Q2,2025-10-13,6100,0,6100,Pending,,,0
FEE_INST_001_000073,STU_INST_001_0014,Development Fee,2024-25,Q2,2025-11-20,4907,0,4907,Pending,,,0
FEE_INST_001_000074,STU_INST_001_0014,Library Fee,2024-25,Q4,2025-09-20,7400,0,7400,Pending,,,0
FEE_INST_001_000075,STU_INST_001_0015,Exam Fee,2024-25,Q4,2025-11-22,3059,0,3059,Pending,,,0
FEE_INST_001_000076,STU_INST_001_0015,Library Fee,2024-25,Q2,2025-09-27,4786,0,4786,Pending,,,0
FEE_INST_001_000077,STU_INST_001_0015,Computer Fee,2024-25,Q2,2025-11-29,2219,0,2219,Pending,,,0
FEE_INST_001_000078,STU_INST_001_0015,Tuition Fee,2024-25,Q3,2025-10-31,18650,0,18650,Pending,,,0
FEE_INST_001_000079,STU_INST_001_0015,Transport Fee,2024-25,Q3,2025-08-13,16928,0,16928,Pending,,,295
FEE_INST_001_000080,STU_INST_001_0015,Activity Fee,2024-25,Q2,2025-12-06,6609,0,6609,Pending,,,0
FEE_INST_001_000081,STU_INST_001_0016,Tuition Fee,2024-25,Q3,2025-08-28,17207,17207,0,Paid,2025-05-30,DD,0
FEE_INST_001_000082,STU_INST_001_0016,Admission Fee,2024-25,Q4,2025-10-13,9758,9758,0,Paid,2025-05-30,Card Payment,0
FEE_INST_001_000083,STU_INST_001_0016,Transport Fee,2024-25,Q4,2025-08-09,8184,8184,0,Paid,2025-09-03,UPI,0
FEE_INST_001_000084,STU_INST_001_0016,Sports Fee,2024-25,Q1,2025-12-09,4149,4149,0,Paid,2025-06-28,Card Payment,0
FEE_INST_001_000085,STU_INST_001_0017,Annual Function Fee,2024-25,Q3,2025-11-15,5769,0,5769,Pending,,,0
FEE_INST_001_000086,STU_INST_001_0017,Library Fee,2024-25,Q1,2025-10-28,6831,0,6831,Pending,,,400
FEE_INST_001_000087,STU_INST_001_0017,Sports Fee,2024-25,Q1,2025-09-02,6768,0,6768,Pending,,,0
FEE_INST_001_000088,STU_INST_001_0017,Development Fee,2024-25,Q4,2025-11-25,7817,0,7817,Pending,,,0
FEE_INST_001_000089,STU_INST_001_0018,Development Fee,2024-25,Q2,2025-10-16,5548,0,5548,Pending,,,0
FEE_INST_001_000090,STU_INST_001_0018,Transport Fee,2024-25,Q1,2025-08-25,14179,0,14179,Pending,,,440
FEE_INST_001_000091,STU_INST_001_0018,Annual Function Fee,2024-25,Q3,2025-10-10,3606,0,3606,Pending,,,0
FEE_INST_001_000092,STU_INST_001_0018,Lab Fee,2024-25,Q3,2025-11-02,4902,0,4902,Pending,,,0
FEE_INST_001_000093,STU_INST_001_0018,Admission Fee,2024-25,Q2,2025-12-06,13070,0,13070,Pending,,,279
FEE_INST_001_000094,STU_INST_001_0018,Activity Fee,2024-25,Q1,2025-10-19,3197,0,3197,Pending,,,0
FEE_INST_001_000095,STU_INST_001_0018,Tuition Fee,2024-25,Q4,2025-08-11,40844,0,40844,Pending,,,186
FEE_INST_001_000096,STU_INST_001_0019,Annual Function Fee,2024-25,Q3,2025-09-22,5065,5065,0,Paid,2025-08-04,Cash,0
FEE_INST_001_000097,STU_INST_001_0019,Lab Fee,2024-25,Q3,2025-08-12,3844,3844,0,Paid,2025-07-05,Cheque,0
FEE_INST_001_000098,STU_INST_001_0019,Development Fee,2024-25,Q2,2025-11-09,6254,6254,0,Paid,2025-05-26,Cash,0
FEE_INST_001_000099,STU_INST_001_0019,Transport Fee,2024-25,Q4,2025-10-05,8249,8249,0,Paid,2025-09-07,Cheque,0
FEE_INST_001_000100,STU_INST_001_0020,Library Fee,2024-25,Q4,2025-10-17,2215,2215,0,Paid,2025-07-06,Card Payment,0
FEE_INST_001_000101,STU_INST_001_0020,Exam Fee,2024-25,Q2,2025-10-03,6032,6032,0,Paid,2025-06-14,Cheque,0
FEE_INST_001_000102,STU_INST_001_0020,Development Fee,2024-25,Q3,2025-11-05,7465,7465,0,Paid,2025-07-07,DD,0
FEE_INST_001_000103,STU_INST_001_0020,Activity Fee,2024-25,Q3,2025-09-19,3752,3752,0,Paid,2025-07-18,Card Payment,0
FEE_INST_001_000104,STU_INST_001_0020,Computer Fee,2024-25,Q3,2025-11-13,5913,5913,0,Paid,2025-08-27,UPI,0
FEE_INST_001_000105,STU_INST_001_0020,Sports Fee,2024-25,Q4,2025-10-13,3686,3686,0,Paid,2025-07-13,Online Banking,0
FEE_INST_001_000106,STU_INST_001_0020,Tuition Fee,2024-25,Q1,2025-09-05,28103,28103,0,Paid,2025-08-10,Online Banking,0
FEE_INST_001_000107,STU_INST_001_0021,Exam Fee,2024-25,Q2,2025-12-11,3967,1983,1984,Partial,2025-07-24,Cash,424
FEE_INST_001_000108,STU_INST_001_0021,Lab Fee,2024-25,Q2,2025-08-07,5719,2859,2860,Partial,2025-09-10,Online Banking,0
FEE_INST_001_000109,STU_INST_001_0021,Library Fee,2024-25,Q1,2025-10-11,2835,1417,1418,Partial,2025-06-30,Cash,0
FEE_INST_001_000110,STU_INST_001_0021,Tuition Fee,2024-25,Q1,2025-10-18,46533,23266,23267,Partial,2025-06-26,DD,0
FEE_INST_001_000111,STU_INST_001_0021,Transport Fee,2024-25,Q1,2025-08-26,14278,7139,7139,Partial,2025-06-15,UPI,0
FEE_INST_001_000112,STU_INST_001_0021,Development Fee,2024-25,Q4,2025-09-23,4078,2039,2039,Partial,2025-05-29,Cash,0
FEE_INST_001_000113,STU_INST_001_0021,Computer Fee,2024-25,Q1,2025-08-04,6411,3205,3206,Partial,2025-06-27,UPI,0
FEE_INST_001_000114,STU_INST_001_0022,Exam Fee,2024-25,Q2,2025-09-04,3456,1728,1728,Partial,2025-05-21,DD,0
FEE_INST_001_000115,STU_INST_001_0022,Lab Fee,2024-25,Q4,2025-10-03,6209,3104,3105,Partial,2025-07-15,Cheque,0
FEE_INST_001_000116,STU_INST_001_0022,Tuition Fee,2024-25,Q1,2025-12-09,41033,20516,20517,Partial,2025-06-04,Online Banking,324
FEE_INST_001_000117,STU_INST_001_0022,Transport Fee,2024-25,Q4,2025-12-10,9169,4584,4585,Partial,2025-08-06,Cheque,0
FEE_INST_001_000118,STU_INST_001_0022,Activity Fee,2024-25,Q2,2025-09-08,6441,3220,3221,Partial,2025-07-31,Online Banking,0
FEE_INST_001_000119,STU_INST_001_0022,Admission Fee,2024-25,Q4,2025-10-13,10272,5136,5136,Partial,2025-08-15,Cheque,447
FEE_INST_001_000120,STU_INST_001_0023,Annual Function Fee,2024-25,Q1,2025-11-18,4944,0,4944,Pending,,,0
FEE_INST_001_000121,STU_INST_001_0023,Sports Fee,2024-25,Q4,2025-08-06,3432,0,3432,Pending,,,0
FEE_INST_001_000122,STU_INST_001_0023,Development Fee,2024-25,Q3,2025-12-12,2155,0,2155,Pending,,,0
FEE_INST_001_000123,STU_INST_001_0023,Computer Fee,2024-25,Q3,2025-10-19,6051,0,6051,Pending,,,322
FEE_INST_001_000124,STU_INST_001_0023,Activity Fee,2024-25,Q2,2025-11-20,3791,0,3791,Pending,,,0
FEE_INST_001_000125,STU_INST_001_0023,Transport Fee,2024-25,Q3,2025-09-21,17837,0,17837,Pending,,,0
FEE_INST_001_000126,STU_INST_001_0024,Library Fee,2024-25,Q2,2025-10-23,6285,3142,3143,Partial,2025-09-08,Online Banking,0
FEE_INST_001_000127,STU_INST_001_0024,Exam Fee,2024-25,Q2,2025-08-04,2353,1176,1177,Partial,2025-08-15,Card Payment,0
FEE_INST_001_000128,STU_INST_001_0024,Admission Fee,2024-25,Q2,2025-11-17,7045,3522,3523,Partial,2025-05-24,Online Banking,0
FEE_INST_001_000129,STU_INST_001_0024,Computer Fee,2024-25,Q1,2025-10-23,5100,2550,2550,Partial,2025-07-10,UPI,349
FEE_INST_001_000130,STU_INST_001_0024,Transport Fee,2024-25,Q4,2025-08-21,18625,9312,9313,Partial,2025-09-14,Card Payment,0
FEE_INST_001_000131,STU_INST_001_0025,Lab Fee,2024-25,Q3,2025-12-12,3608,0,3608,Pending,,,0
FEE_INST_001_000132,STU_INST_001_0025,Admission Fee,2024-25,Q3,2025-12-14,5711,0,5711,Pending,,,0
FEE_INST_001_000133,STU_INST_001_0025,Transport Fee,2024-25,Q1,2025-10-20,13347,0,13347,Pending,,,0
FEE_INST_001_000134,STU_INST_001_0025,Sports Fee,2024-25,Q4,2025-10-18,7583,0,7583,Pending,,,0
FEE_INST_001_000135,STU_INST_001_0025,Library Fee,2024-25,Q1,2025-09-01,6652,0,6652,Pending,,,0
FEE_INST_001_000136,STU_INST_001_0025,Annual Function Fee,2024-25,Q3,2025-10-29,6194,0,6194,Pending,,,0
FEE_INST_001_000137,STU_INST_001_0025,Exam Fee,2024-25,Q2,2025-11-06,6060,0,6060,Pending,,,478
FEE_INST_001_000138,STU_INST_001_0026,Annual Function Fee,2024-25,Q2,2025-08-12,2371,1185,1186,Partial,2025-08-13,Cash,0
FEE_INST_001_000139,STU_INST_001_0026,Library Fee,2024-25,Q4,2025-08-03,4355,2177,2178,Partial,2025-06-06,Cash,0
FEE_INST_001_000140,STU_INST_001_0026,Admission Fee,2024-25,Q1,2025-08-26,5950,2975,2975,Partial,2025-07-16,UPI,177
FEE_INST_001_000141,STU_INST_001_0026,Sports Fee,2024-25,Q4,2025-09-21,7565,3782,3783,Partial,2025-08-02,Online Banking,439
FEE_INST_001_000142,STU_INST_001_0026,Tuition Fee,2024-25,Q3,2025-09-02,43421,21710,21711,Partial,2025-07-16,Cheque,0
FEE_INST_001_000143,STU_INST_001_0026,Development Fee,2024-25,Q1,2025-09-26,2592,1296,1296,Partial,2025-07-13,Cheque,0
FEE_INST_001_000144,STU_INST_001_0026,Computer Fee,2024-25,Q2,2025-09-20,6291,3145,3146,Partial,2025-08-02,Cheque,0
FEE_INST_001_000145,STU_INST_001_0027,Activity Fee,2024-25,Q1,2025-09-07,7018,7018,0,Paid,2025-08-05,Cheque,0
FEE_INST_001_000146,STU_INST_001_0027,Library Fee,2024-25,Q3,2025-10-13,2215,2215,0,Paid,2025-06-03,Card Payment,0
FEE_INST_001_000147,STU_INST_001_0027,Admission Fee,2024-25,Q1,2025-11-15,7227,7227,0,Paid,2025-05-21,DD,0
FEE_INST_001_000148,STU_INST_001_0027,Computer Fee,2024-25,Q3,2025-08-26,4555,4555,0,Paid,2025-06-10,Online Banking,0
FEE_INST_001_000149,STU_INST_001_0027,Annual Function Fee,2024-25,Q3,2025-09-11,6717,6717,0,Paid,2025-06-11,Online Banking,0
FEE_INST_001_000150,STU_INST_001_0027,Exam Fee,2024-25,Q4,2025-10-22,3893,3893,0,Paid,2025-08-21,Cheque,0
FEE_INST_001_000151,STU_INST_001_0028,Admission Fee,2024-25,Q4,2025-09-09,11828,11828,0,Paid,2025-08-02,Cash,0
FEE_INST_001_000152,STU_INST_001_0028,Tuition Fee,2024-25,Q3,2025-09-12,41345,41345,0,Paid,2025-06-19,UPI,0
FEE_INST_001_000153,STU_INST_001_0028,Exam Fee,2024-25,Q4,2025-12-03,6990,6990,0,Paid,2025-09-08,UPI,0
FEE_INST_001_000154,STU_INST_001_0028,Transport Fee,2024-25,Q2,2025-12-03,10423,10423,0,Paid,2025-07-18,Cheque,0
FEE_INST_001_000155,STU_INST_001_0028,Activity Fee,2024-25,Q3,2025-09-26,2706,2706,0,Paid,2025-05-30,Cheque,0
FEE_INST_001_000156,STU_INST_001_0029,Exam Fee,2024-25,Q2,2025-09-13,3299,0,3299,Pending,,,0
FEE_INST_001_000157,STU_INST_001_0029,Sports Fee,2024-25,Q1,2025-08-05,7819,0,7819,Pending,,,0
FEE_INST_001_000158,STU_INST_001_0029,Lab Fee,2024-25,Q2,2025-08-28,4977,0,4977,Pending,,,0
FEE_INST_001_000159,STU_INST_001_0029,Annual Function Fee,2024-25,Q3,2025-11-21,6606,0,6606,Pending,,,376
FEE_INST_001_000160,STU_INST_001_0030,Tuition Fee,2024-25,Q1,2025-10-18,38308,0,38308,Pending,,,0
FEE_INST_001_000161,STU_INST_001_0030,Exam Fee,2024-25,Q4,2025-08-11,2637,0,2637,Pending,,,0
FEE_INST_001_000162,STU_INST_001_0030,Computer Fee,2024-25,Q4,2025-10-10,5975,0,5975,Pending,,,0
FEE_INST_001_000163,STU_INST_001_0030,Lab Fee,2024-25,Q3,2025-09-10,5032,0,5032,Pending,,,267
FEE_INST_001_000164,STU_INST_001_0030,Admission Fee,2024-25,Q4,2025-09-30,13090,0,13090,Pending,,,0
FEE_INST_001_000165,STU_INST_001_0030,Development Fee,2024-25,Q4,2025-10-25,3279,0,3279,Pending,,,0
FEE_INST_001_000166,STU_INST_001_0030,Annual Function Fee,2024-25,Q1,2025-08-21,6940,0,6940,Pending,,,257
FEE_INST_001_000167,STU_INST_001_0031,Admission Fee,2024-25,Q1,2025-10-08,9728,4864,4864,Partial,2025-08-04,UPI,0
FEE_INST_001_000168,STU_INST_001_0031,Tuition Fee,2024-25,Q3,2025-08-13,18612,9306,9306,Partial,2025-06-24,UPI,266
FEE_INST_001_000169,STU_INST_001_0031,Library Fee,2024-25,Q1,2025-11-27,3120,1560,1560,Partial,2025-08-15,Card Payment,0
FEE_INST_001_000170,STU_INST_001_0031,Sports Fee,2024-25,Q1,2025-09-25,7263,3631,3632,Partial,2025-09-05,Online Banking,309
FEE_INST_001_000171,STU_INST_001_0031,Annual Function Fee,2024-25,Q2,2025-12-14,5111,2555,2556,Partial,2025-09-01,UPI,0
FEE_INST_001_000172,STU_INST_001_0031,Exam Fee,2024-25,Q1,2025-08-25,4895,2447,2448,Partial,2025-08-03,UPI,0
FEE_INST_001_000173,STU_INST_001_0031,Development Fee,2024-25,Q2,2025-12-06,4295,2147,2148,Partial,2025-05-24,Card Payment,321
FEE_INST_001_000174,STU_INST_001_0032,Transport Fee,2024-25,Q4,2025-09-06,8585,4292,4293,Partial,2025-08-05,Online Banking,0
FEE_INST_001_000175,STU_INST_001_0032,Library Fee,2024-25,Q3,2025-12-14,5511,2755,2756,Partial,2025-07-31,Card Payment,259
FEE_INST_001_000176,STU_INST_001_0032,Development Fee,2024-25,Q2,2025-09-15,4318,2159,2159,Partial,2025-08-03,DD,285
FEE_INST_001_000177,STU_INST_001_0032,Exam Fee,2024-25,Q3,2025-10-13,4871,2435,2436,Partial,2025-06-09,UPI,0
FEE_INST_001_000178,STU_INST_001_0032,Admission Fee,2024-25,Q2,2025-08-07,5217,2608,2609,Partial,2025-08-29,Cheque,307
FEE_INST_001_000179,STU_INST_001_0032,Computer Fee,2024-25,Q2,2025-08-10,2410,1205,1205,Partial,2025-07-27,UPI,270
FEE_INST_001_000180,STU_INST_001_0032,Annual Function Fee,2024-25,Q2,2025-10-27,5611,2805,2806,Partial,2025-08-03,DD,0
FEE_INST_001_000181,STU_INST_001_0033,Annual Function Fee,2024-25,Q4,2025-10-03,4572,0,4572,Pending,,,116
FEE_INST_001_000182,STU_INST_001_0033,Admission Fee,2024-25,Q3,2025-09-02,8117,0,8117,Pending,,,276
FEE_INST_001_000183,STU_INST_001_0033,Library Fee,2024-25,Q1,2025-09-03,6929,0,6929,Pending,,,0
FEE_INST_001_000184,STU_INST_001_0033,Activity Fee,2024-25,Q4,2025-08-24,5241,0,5241,Pending,,,0
FEE_INST_001_000185,STU_INST_001_0034,Tuition Fee,2024-25,Q2,2025-10-12,45630,22815,22815,Partial,2025-07-22,Online Banking,0
FEE_INST_001_000186,STU_INST_001_0034,Transport Fee,2024-25,Q2,2025-11-15,11858,5929,5929,Partial,2025-05-20,Online Banking,0
FEE_INST_001_000187,STU_INST_001_0034,Sports Fee,2024-25,Q4,2025-09-19,6478,3239,3239,Partial,2025-07-04,DD,0
FEE_INST_001_000188,STU_INST_001_0034,Activity Fee,2024-25,Q3,2025-11-21,2867,1433,1434,Partial,2025-09-13,Cheque,241
FEE_INST_001_000189,STU_INST_001_0034,Computer Fee,2024-25,Q4,2025-11-25,6216,3108,3108,Partial,2025-07-28,Cash,165
FEE_INST_001_000190,STU_INST_001_0034,Annual Function Fee,2024-25,Q2,2025-09-18,6292,3146,3146,Partial,2025-07-27,DD,359
FEE_INST_001_000191,STU_INST_001_0034,Admission Fee,2024-25,Q2,2025-08-15,11141,5570,5571,Partial,2025-08-17,Online Banking,0
FEE_INST_001_000192,STU_INST_001_0035,Transport Fee,2024-25,Q2,2025-11-24,14064,0,14064,Pending,,,0
FEE_INST_001_000193,STU_INST_001_0035,Library Fee,2024-25,Q1,2025-08-31,7882,0,7882,Pending,,,0
FEE_INST_001_000194,STU_INST_001_0035,Computer Fee,2024-25,Q4,2025-10-09,6176,0,6176,Pending,,,0
FEE_INST_001_000195,STU_INST_001_0035,Sports Fee,2024-25,Q1,2025-08-04,4605,0,4605,Pending,,,0
FEE_INST_001_000196,STU_INST_001_0036,Activity Fee,2024-25,Q2,2025-11-25,3365,0,3365,Pending,,,0
FEE_INST_001_000197,STU_INST_001_0036,Sports Fee,2024-25,Q3,2025-11-23,4124,0,4124,Pending,,,0
FEE_INST_001_000198,STU_INST_001_0036,Development Fee,2024-25,Q4,2025-11-12,7201,0,7201,Pending,,,0
FEE_INST_001_000199,STU_INST_001_0036,Exam Fee,2024-25,Q4,2025-09-26,3037,0,3037,Pending,,,0
FEE_INST_001_000200,STU_INST_001_0036,Admission Fee,2024-25,Q1,2025-08-13,5059,0,5059,Pending,,,0
FEE_INST_001_000201,STU_INST_001_0036,Annual Function Fee,2024-25,Q4,2025-10-09,5031,0,5031,Pending,,,0
FEE_INST_001_000202,STU_INST_001_0036,Computer Fee,2024-25,Q2,2025-11-25,7712,0,7712,Pending,,,0
FEE_INST_001_000203,STU_INST_001_0037,Admission Fee,2024-25,Q4,2025-11-16,6425,6425,0,Paid,2025-09-05,Cheque,0
FEE_INST_001_000204,STU_INST_001_0037,Tuition Fee,2024-25,Q3,2025-10-11,39229,39229,0,Paid,2025-05-26,Card Payment,0
