mapping_id,mentor_id,student_id,assigned_date,status,last_interaction,interaction_type,interaction_frequency,communication_mode,parent_contact_frequency,academic_support_provided,counseling_sessions
MAP_INST_001_000045,MEN_INST_001_021,STU_INST_001_0045,2025-05-19,Active,2025-09-02,Parent Meeting,Weekly,WhatsApp,Monthly,True,4
MAP_INST_001_000046,MEN_INST_001_022,STU_INST_001_0046,2024-07-23,Active,2025-09-09,Academic Review,Monthly,In Person,As Needed,False,5
MAP_INST_001_000047,MEN_INST_001_023,STU_INST_001_0047,2024-12-14,Active,2025-09-02,Parent Meeting,Daily,SMS,Weekly,True,3
MAP_INST_001_000048,MEN_INST_001_024,STU_INST_001_0048,2024-03-11,Active,2025-08-26,Behavioral Discussion,Daily,Phone Call,Fortnightly,True,5
MAP_INST_001_000049,MEN_INST_001_001,STU_INST_001_0049,2024-12-24,Active,2025-09-13,Counseling Session,Daily,WhatsApp,Weekly,False,1
MAP_INST_001_000050,MEN_INST_001_002,STU_INST_001_0050,2025-06-27,Active,2025-08-28,Parent Meeting,Daily,WhatsApp,Weekly,False,0
MAP_INST_001_000051,MEN_INST_001_003,STU_INST_001_0051,2024-01-30,Active,2025-09-12,Progress Update,Daily,Phone Call,Fortnightly,False,2
MAP_INST_001_000052,MEN_INST_001_004,STU_INST_001_0052,2025-03-29,Active,2025-08-31,Academic Review,Weekly,In Person,Weekly,True,3
MAP_INST_001_000053,MEN_INST_001_005,STU_INST_001_0053,2025-03-12,Active,2025-09-16,Parent Meeting,Weekly,Email,As Needed,True,1
MAP_INST_001_000054,MEN_INST_001_006,STU_INST_001_0054,2023-11-16,Active,2025-09-06,Counseling Session,Daily,Email,Weekly,False,2
MAP_INST_001_000055,MEN_INST_001_007,STU_INST_001_0055,2025-06-16,Active,2025-08-29,Progress Update,Bi-weekly,Email,Fortnightly,True,1
MAP_INST_001_000056,MEN_INST_001_008,STU_INST_001_0056,2024-06-09,Active,2025-09-07,Behavioral Discussion,Daily,Phone Call,Monthly,True,0
MAP_INST_001_000057,MEN_INST_001_009,STU_INST_001_0057,2024-04-15,Active,2025-09-04,Progress Update,Weekly,In Person,Monthly,True,1
MAP_INST_001_000058,MEN_INST_001_010,STU_INST_001_0058,2024-07-01,Active,2025-09-03,Counseling Session,Bi-weekly,In Person,As Needed,True,4
MAP_INST_001_000059,MEN_INST_001_011,STU_INST_001_0059,2023-11-24,Active,2025-08-31,Academic Review,Bi-weekly,Email,Monthly,True,4
MAP_INST_001_000060,MEN_INST_001_012,STU_INST_001_0060,2025-04-24,Active,2025-09-02,Progress Update,Weekly,Email,Fortnightly,True,3
MAP_INST_001_000061,MEN_INST_001_013,STU_INST_001_0061,2025-03-23,Active,2025-09-03,Progress Update,Bi-weekly,Email,As Needed,True,2
MAP_INST_001_000062,MEN_INST_001_014,STU_INST_001_0062,2025-05-22,Active,2025-09-10,Parent Meeting,Weekly,In Person,Fortnightly,False,5
MAP_INST_001_000063,MEN_INST_001_015,STU_INST_001_0063,2024-04-06,Active,2025-09-14,Parent Meeting,Monthly,In Person,Weekly,True,4
MAP_INST_001_000064,MEN_INST_001_016,STU_INST_001_0064,2025-04-08,Active,2025-09-06,Parent Meeting,Weekly,In Person,Weekly,False,2
MAP_INST_001_000065,MEN_INST_001_017,STU_INST_001_0065,2025-04-06,Active,2025-09-16,Parent Meeting,Weekly,Phone Call,As Needed,False,5
MAP_INST_001_000066,MEN_INST_001_018,STU_INST_001_0066,2024-11-03,Active,2025-09-05,Parent Meeting,Weekly,Phone Call,Fortnightly,False,2
MAP_INST_001_000067,MEN_INST_001_019,STU_INST_001_0067,2024-03-26,Active,2025-09-08,Academic Review,Daily,Phone Call,Weekly,True,2
MAP_INST_001_000068,MEN_INST_001_020,STU_INST_001_0068,2024-05-22,Active,2025-09-09,Progress Update,Bi-weekly,SMS,Weekly,True,3
MAP_INST_001_000069,MEN_INST_001_021,STU_INST_001_0069,2024-02-28,Active,2025-09-04,Parent Meeting,Bi-weekly,Email,Weekly,False,1
MAP_INST_001_000070,MEN_INST_001_022,STU_INST_001_0070,2023-12-24,Active,2025-09-02,Counseling Session,Monthly,In Person,Monthly,True,3
MAP_INST_001_000071,MEN_INST_001_023,STU_INST_001_0071,2024-03-28,Active,2025-09-13,Counseling Session,Weekly,Phone Call,Monthly,False,3
MAP_INST_001_000072,MEN_INST_001_024,STU_INST_001_0072,2025-07-18,Active,2025-09-07,Behavioral Discussion,Daily,SMS,Weekly,True,4
MAP_INST_001_000073,MEN_INST_001_001,STU_INST_001_0073,2025-06-06,Active,2025-09-11,Behavioral Discussion,Monthly,Email,Monthly,True,5
MAP_INST_001_000074,MEN_INST_001_002,STU_INST_001_0074,2024-05-16,Active,2025-09-03,Parent Meeting,Weekly,WhatsApp,As Needed,True,0
MAP_INST_001_000075,MEN_INST_001_003,STU_INST_001_0075,2024-10-26,Active,2025-09-14,Counseling Session,Bi-weekly,SMS,As Needed,True,2
MAP_INST_001_000076,MEN_INST_001_004,STU_INST_001_0076,2024-03-18,Active,2025-09-15,Progress Update,Daily,Email,Fortnightly,True,1
MAP_INST_001_000077,MEN_INST_001_005,STU_INST_001_0077,2024-05-06,Active,2025-08-29,Behavioral Discussion,Bi-weekly,Email,Monthly,True,0
MAP_INST_001_000078,MEN_INST_001_006,STU_INST_001_0078,2024-12-23,Active,2025-09-03,Progress Update,Bi-weekly,WhatsApp,As Needed,False,4
MAP_INST_001_000079,MEN_INST_001_007,STU_INST_001_0079,2024-07-30,Active,2025-09-09,Parent Meeting,Monthly,Phone Call,Weekly,True,3
MAP_INST_001_000080,MEN_INST_001_008,STU_INST_001_0080,2024-08-23,Active,2025-09-09,Parent Meeting,Monthly,SMS,Fortnightly,False,2
MAP_INST_001_000081,MEN_INST_001_009,STU_INST_001_0081,2024-01-12,Active,2025-08-31,Counseling Session,Monthly,WhatsApp,Weekly,True,0
MAP_INST_001_000082,MEN_INST_001_010,STU_INST_001_0082,2024-04-27,Active,2025-09-14,Progress Update,Weekly,WhatsApp,Weekly,False,2
MAP_INST_001_000083,MEN_INST_001_011,STU_INST_001_0083,2025-05-27,Active,2025-09-05,Academic Review,Bi-weekly,WhatsApp,Monthly,True,5
MAP_INST_001_000084,MEN_INST_001_012,STU_INST_001_0084,2025-07-02,Active,2025-09-14,Parent Meeting,Daily,WhatsApp,Weekly,True,3
MAP_INST_001_000085,MEN_INST_001_013,STU_INST_001_0085,2024-10-21,Active,2025-09-13,Behavioral Discussion,Daily,SMS,Monthly,True,5
MAP_INST_001_000086,MEN_INST_001_014,STU_INST_001_0086,2024-03-07,Active,2025-08-27,Parent Meeting,Weekly,Email,Fortnightly,True,0
MAP_INST_001_000087,MEN_INST_001_015,STU_INST_001_0087,2025-01-02,Active,2025-09-02,Counseling Session,Bi-weekly,In Person,Fortnightly,False,5
MAP_INST_001_000088,MEN_INST_001_016,STU_INST_001_0088,2024-12-13,Active,2025-09-07,Progress Update,Monthly,WhatsApp,Monthly,False,3
MAP_INST_001_000089,MEN_INST_001_017,STU_INST_001_0089,2025-02-25,Active,2025-09-05,Progress Update,Weekly,WhatsApp,Monthly,True,3
MAP_INST_001_000090,MEN_INST_001_018,STU_INST_001_0090,2023-12-24,Active,2025-09-16,Academic Review,Weekly,Email,Weekly,False,5
MAP_INST_001_000091,MEN_INST_001_019,STU_INST_001_0091,2023-10-02,Active,2025-09-07,Counseling Session,Weekly,In Person,Weekly,False,1
MAP_INST_001_000092,MEN_INST_001_020,STU_INST_001_0092,2025-07-03,Active,2025-08-31,Behavioral Discussion,Bi-weekly,Email,Monthly,True,0
MAP_INST_001_000093,MEN_INST_001_021,STU_INST_001_0093,2025-01-19,Active,2025-09-01,Counseling Session,Weekly,In Person,Weekly,True,1
MAP_INST_001_000094,MEN_INST_001_022,STU_INST_001_0094,2024-10-20,Active,2025-09-16,Parent Meeting,Bi-weekly,Email,As Needed,True,4
MAP_INST_001_000095,MEN_INST_001_023,STU_INST_001_0095,2024-06-30,Active,2025-09-08,Counseling Session,Monthly,WhatsApp,Weekly,False,5
MAP_INST_001_000096,MEN_INST_001_024,STU_INST_001_0096,2023-12-31,Active,2025-09-11,Counseling Session,Bi-weekly,WhatsApp,Weekly,True,2
MAP_INST_001_000097,MEN_INST_001_001,STU_INST_001_0097,2025-06-06,Active,2025-08-28,Counseling Session,Daily,In Person,Fortnightly,False,2
MAP_INST_001_000098,MEN_INST_001_002,STU_INST_001_0098,2023-10-02,Active,2025-09-12,Progress Update,Daily,Email,As Needed,True,2
MAP_INST_001_000099,MEN_INST_001_003,STU_INST_001_0099,2024-11-01,Active,2025-09-12,Counseling Session,Weekly,Email,Fortnightly,True,4
MAP_INST_001_000100,MEN_INST_001_004,STU_INST_001_0100,2024-01-05,Active,2025-09-06,Behavioral Discussion,Monthly,Phone Call,Monthly,False,2
MAP_INST_001_000101,MEN_INST_001_005,STU_INST_001_0101,2024-12-16,Active,2025-09-12,Academic Review,Weekly,SMS,Fortnightly,True,0
MAP_INST_001_000102,MEN_INST_001_006,STU_INST_001_0102,2025-08-12,Active,2025-09-04,Progress Update,Daily,In Person,Fortnightly,False,4
MAP_INST_001_000103,MEN_INST_001_007,STU_INST_001_0103,2024-10-26,Active,2025-09-10,Counseling Session,Bi-weekly,WhatsApp,As Needed,False,0
MAP_INST_001_000104,MEN_INST_001_008,STU_INST_001_0104,2025-03-09,Active,2025-09-06,Counseling Session,Bi-weekly,SMS,Monthly,True,2
MAP_INST_001_000105,MEN_INST_001_009,STU_INST_001_0105,2024-04-22,Active,2025-09-11,Counseling Session,Monthly,WhatsApp,Fortnightly,False,2
MAP_INST_001_000106,MEN_INST_001_010,STU_INST_001_0106,2023-12-12,Active,2025-09-10,Progress Update,Monthly,Phone Call,As Needed,True,2
MAP_INST_001_000107,MEN_INST_001_011,STU_INST_001_0107,2025-04-09,Active,2025-08-30,Progress Update,Weekly,Phone Call,As Needed,False,4
MAP_INST_001_000108,MEN_INST_001_012,STU_INST_001_0108,2025-05-05,Active,2025-09-10,Parent Meeting,Bi-weekly,Phone Call,Weekly,False,3
MAP_INST_001_000109,MEN_INST_001_013,STU_INST_001_0109,2024-05-21,Active,2025-09-16,Parent Meeting,Daily,In Person,Monthly,False,3
MAP_INST_001_000110,MEN_INST_001_014,STU_INST_001_0110,2025-02-21,Active,2025-09-01,Progress Update,Monthly,WhatsApp,Weekly,True,4
MAP_INST_001_000111,MEN_INST_001_015,STU_INST_001_0111,2024-09-20,Active,2025-08-27,Academic Review,Weekly,Email,Weekly,True,5
MAP_INST_001_000112,MEN_INST_001_016,STU_INST_001_0112,2023-10-13,Active,2025-08-28,Counseling Session,Daily,Phone Call,Fortnightly,True,2
MAP_INST_001_000113,MEN_INST_001_017,STU_INST_001_0113,2024-06-23,Active,2025-08-28,Behavioral Discussion,Monthly,WhatsApp,Monthly,False,0
MAP_INST_001_000114,MEN_INST_001_018,STU_INST_001_0114,2023-11-23,Active,2025-09-04,Parent Meeting,Bi-weekly,WhatsApp,Fortnightly,False,1
MAP_INST_001_000115,MEN_INST_001_019,STU_INST_001_0115,2024-07-26,Active,2025-08-28,Counseling Session,Bi-weekly,Email,Fortnightly,False,3
MAP_INST_001_000116,MEN_INST_001_020,STU_INST_001_0116,2025-01-28,Active,2025-09-14,Parent Meeting,Bi-weekly,In Person,As Needed,False,5
MAP_INST_001_000117,MEN_INST_001_021,STU_INST_001_0117,2024-04-24,Active,2025-09-10,Progress Update,Weekly,WhatsApp,Fortnightly,True,0
MAP_INST_001_000118,MEN_INST_001_022,STU_INST_001_0118,2024-03-10,Active,2025-09-04,Counseling Session,Monthly,Email,Weekly,False,3
MAP_INST_001_000119,MEN_INST_001_023,STU_INST_001_0119,2023-10-10,Active,2025-09-13,Counseling Session,Monthly,WhatsApp,Fortnightly,False,1
MAP_INST_001_000120,MEN_INST_001_024,STU_INST_001_0120,2025-07-24,Active,2025-09-04,Parent Meeting,Bi-weekly,In Person,Monthly,True,1
MAP_INST_001_000121,MEN_INST_001_001,STU_INST_001_0121,2024-05-24,Active,2025-08-30,Progress Update,Weekly,SMS,As Needed,True,1
MAP_INST_001_000122,MEN_INST_001_002,STU_INST_001_0122,2025-01-13,Active,2025-08-30,Parent Meeting,Monthly,In Person,Monthly,True,0
MAP_INST_001_000123,MEN_INST_001_003,STU_INST_001_0123,2025-04-03,Active,2025-09-05,Counseling Session,Weekly,Email,Monthly,False,4
MAP_INST_001_000124,MEN_INST_001_004,STU_INST_001_0124,2024-01-25,Active,2025-09-01,Behavioral Discussion,Daily,Phone Call,Fortnightly,True,3
MAP_INST_001_000125,MEN_INST_001_005,STU_INST_001_0125,2024-09-22,Active,2025-09-10,Academic Review,Monthly,Email,As Needed,False,5
MAP_INST_001_000126,MEN_INST_001_006,STU_INST_001_0126,2024-10-24,Active,2025-09-03,Academic Review,Monthly,SMS,Fortnightly,True,5
MAP_INST_001_000127,MEN_INST_001_007,STU_INST_001_0127,2023-10-03,Active,2025-09-14,Counseling Session,Daily,Email,Monthly,False,3
MAP_INST_001_000128,MEN_INST_001_008,STU_INST_001_0128,2024-07-30,Active,2025-08-30,Counseling Session,Monthly,WhatsApp,Fortnightly,True,0
MAP_INST_001_000129,MEN_INST_001_009,STU_INST_001_0129,2024-06-07,Active,2025-08-30,Academic Review,Monthly,SMS,As Needed,True,3
MAP_INST_001_000130,MEN_INST_001_010,STU_INST_001_0130,2024-01-30,Active,2025-08-27,Progress Update,Bi-weekly,Email,Fortnightly,False,4
MAP_INST_001_000131,MEN_INST_001_011,STU_INST_001_0131,2025-03-23,Active,2025-09-03,Academic Review,Daily,WhatsApp,Weekly,True,1
MAP_INST_001_000132,MEN_INST_001_012,STU_INST_001_0132,2025-04-25,Active,2025-09-15,Counseling Session,Bi-weekly,Email,Fortnightly,True,5
MAP_INST_001_000133,MEN_INST_001_013,STU_INST_001_0133,2024-11-02,Active,2025-09-08,Academic Review,Bi-weekly,SMS,Monthly,False,2
MAP_INST_001_000134,MEN_INST_001_014,STU_INST_001_0134,2025-01-28,Active,2025-08-27,Behavioral Discussion,Bi-weekly,SMS,As Needed,False,2
MAP_INST_001_000135,MEN_INST_001_015,STU_INST_001_0135,2023-11-24,Active,2025-08-30,Progress Update,Daily,In Person,Fortnightly,False,1
MAP_INST_001_000136,MEN_INST_001_016,STU_INST_001_0136,2024-06-24,Active,2025-09-13,Academic Review,Weekly,SMS,As Needed,True,1
MAP_INST_001_000137,MEN_INST_001_017,STU_INST_001_0137,2024-06-12,Active,2025-09-15,Parent Meeting,Monthly,Email,As Needed,True,1
MAP_INST_001_000138,MEN_INST_001_018,STU_INST_001_0138,2025-01-30,Active,2025-09-01,Progress Update,Weekly,SMS,Monthly,False,5
MAP_INST_001_000139,MEN_INST_001_019,STU_INST_001_0139,2024-12-19,Active,2025-09-06,Progress Update,Monthly,SMS,Monthly,True,3
MAP_INST_001_000140,MEN_INST_001_020,STU_INST_001_0140,2025-01-20,Active,2025-09-13,Behavioral Discussion,Weekly,WhatsApp,Weekly,True,2
MAP_INST_001_000141,MEN_INST_001_021,STU_INST_001_0141,2024-01-02,Active,2025-09-14,Academic Review,Bi-weekly,WhatsApp,As Needed,True,4
MAP_INST_001_000142,MEN_INST_001_022,STU_INST_001_0142,2024-08-04,Active,2025-08-30,Parent Meeting,Weekly,SMS,As Needed,True,2
MAP_INST_001_000143,MEN_INST_001_023,STU_INST_001_0143,2025-06-27,Active,2025-09-03,Counseling Session,Daily,Email,Weekly,False,4
MAP_INST_001_000144,MEN_INST_001_024,STU_INST_001_0144,2023-10-16,Active,2025-08-29,Counseling Session,Weekly,Phone Call,Monthly,False,0
MAP_INST_001_000145,MEN_INST_001_001,STU_INST_001_0145,2025-06-14,Active,2025-09-13,Behavioral Discussion,Weekly,Email,Fortnightly,True,5
MAP_INST_001_000146,MEN_INST_001_002,STU_INST_001_0146,2025-07-19,Active,2025-09-02,Academic Review,Bi-weekly,WhatsApp,Weekly,True,0
MAP_INST_001_000147,MEN_INST_001_003,STU_INST_001_0147,2023-11-25,Active,2025-09-02,Parent Meeting,Daily,Phone Call,Weekly,False,4
MAP_INST_001_000148,MEN_INST_001_004,STU_INST_001_0148,2024-03-29,Active,2025-09-08,Behavioral Discussion,Daily,Email,Weekly,False,3
MAP_INST_001_000149,MEN_INST_001_005,STU_INST_001_0149,2023-11-07,Active,2025-09-12,Behavioral Discussion,Monthly,WhatsApp,Weekly,False,0
MAP_INST_001_000150,MEN_INST_001_006,STU_INST_001_0150,2024-01-23,Active,2025-09-03,Parent Meeting,Daily,Phone Call,As Needed,True,4
MAP_INST_001_000151,MEN_INST_001_007,STU_INST_001_0151,2023-11-02,Active,2025-08-26,Progress Update,Monthly,In Person,As Needed,True,4
MAP_INST_001_000152,MEN_INST_001_008,STU_INST_001_0152,2023-10-20,Active,2025-09-06,Counseling Session,Monthly,SMS,Fortnightly,True,1
MAP_INST_001_000153,MEN_INST_001_009,STU_INST_001_0153,2023-10-01,Active,2025-08-30,Counseling Session,Weekly,Phone Call,Weekly,True,1
MAP_INST_001_000154,MEN_INST_001_010,STU_INST_001_0154,2025-07-21,Active,2025-08-27,Academic Review,Bi-weekly,SMS,Weekly,False,1
MAP_INST_001_000155,MEN_INST_001_011,STU_INST_001_0155,2023-12-04,Active,2025-09-03,Academic Review,Daily,Email,Fortnightly,True,2
MAP_INST_001_000156,MEN_INST_001_012,STU_INST_001_0156,2024-05-12,Active,2025-09-15,Behavioral Discussion,Monthly,In Person,Monthly,False,4
MAP_INST_001_000157,MEN_INST_001_013,STU_INST_001_0157,2024-11-22,Active,2025-09-15,Parent Meeting,Bi-weekly,Phone Call,Fortnightly,True,0
MAP_INST_001_000158,MEN_INST_001_014,STU_INST_001_0158,2025-02-03,Active,2025-09-08,Counseling Session,Daily,SMS,Fortnightly,True,3
MAP_INST_001_000159,MEN_INST_001_015,STU_INST_001_0159,2024-04-12,Active,2025-09-03,Academic Review,Monthly,Phone Call,As Needed,True,4
MAP_INST_001_000160,MEN_INST_001_016,STU_INST_001_0160,2024-10-14,Active,2025-09-04,Academic Review,Weekly,SMS,Monthly,False,0
MAP_INST_001_000161,MEN_INST_001_017,STU_INST_001_0161,2025-07-21,Active,2025-09-13,Counseling Session,Monthly,In Person,Monthly,True,3
MAP_INST_001_000162,MEN_INST_001_018,STU_INST_001_0162,2025-03-26,Active,2025-09-03,Academic Review,Bi-weekly,WhatsApp,Weekly,True,0
MAP_INST_001_000163,MEN_INST_001_019,STU_INST_001_0163,2024-09-15,Active,2025-09-07,Behavioral Discussion,Bi-weekly,Email,Weekly,False,5
MAP_INST_001_000164,MEN_INST_001_020,STU_INST_001_0164,2025-02-18,Active,2025-09-11,Progress Update,Weekly,In Person,Weekly,True,3
MAP_INST_001_000165,MEN_INST_001_021,STU_INST_001_0165,2023-12-15,Active,2025-08-31,Counseling Session,Monthly,Phone Call,Fortnightly,False,1
MAP_INST_001_000166,MEN_INST_001_022,STU_INST_001_0166,2025-06-21,Active,2025-08-27,Behavioral Discussion,Monthly,SMS,As Needed,True,3
MAP_INST_001_000167,MEN_INST_001_023,STU_INST_001_0167,2024-04-26,Active,2025-09-15,Progress Update,Bi-weekly,WhatsApp,Monthly,False,4
MAP_INST_001_000168,MEN_INST_001_024,STU_INST_001_0168,2025-01-17,Active,2025-08-29,Progress Update,Bi-weekly,Email,Monthly,True,5
MAP_INST_001_000169,MEN_INST_001_001,STU_INST_001_0169,2025-06-13,Active,2025-09-03,Counseling Session,Monthly,In Person,Monthly,False,0
MAP_INST_001_000170,MEN_INST_001_002,STU_INST_001_0170,2024-08-09,Active,2025-08-30,Counseling Session,Bi-weekly,WhatsApp,As Needed,False,2
MAP_INST_001_000171,MEN_INST_001_003,STU_INST_001_0171,2024-08-20,Active,2025-08-28,Behavioral Discussion,Weekly,SMS,Weekly,False,4
MAP_INST_001_000172,MEN_INST_001_004,STU_INST_001_0172,2024-01-21,Active,2025-09-06,Parent Meeting,Weekly,Phone Call,Weekly,False,3
MAP_INST_001_000173,MEN_INST_001_005,STU_INST_001_0173,2023-11-25,Active,2025-09-08,Progress Update,Bi-weekly,In Person,Monthly,False,0
MAP_INST_001_000174,MEN_INST_001_006,STU_INST_001_0174,2024-02-06,Active,2025-08-28,Counseling Session,Daily,Phone Call,As Needed,False,2
MAP_INST_001_000175,MEN_INST_001_007,STU_INST_001_0175,2025-05-05,Active,2025-09-14,Counseling Session,Weekly,WhatsApp,As Needed,False,0
MAP_INST_001_000176,MEN_INST_001_008,STU_INST_001_0176,2025-02-10,Active,2025-09-05,Counseling Session,Weekly,Email,As Needed,True,1
MAP_INST_001_000177,MEN_INST_001_009,STU_INST_001_0177,2024-09-20,Active,2025-09-11,Behavioral Discussion,Daily,In Person,Fortnightly,True,2
